Nome;Latitude;Longitude;Bairro
Estação-tubo Cajuru, Rua Engenheiro Costa Barros, Cajuru,  82950-420, Brasil ;-25,4604091;-49,2117399;Cajuru
Estação Tubo Praça Carlos Gomes, Centro,  ;-25,43400165;-49,2691596;Centro
Estação-tubo Catulo da Paixão Cearense, Rua Filipinas, Cajuru,  82960-180, Brasil ;-25,4650533;-49,209789;Cajuru
Estação Tubo Passeio Público, Centro Cívico,  ;-25,42389595;-49,2684661;Centro Cívico
Estação tubo Círculo Militar, Centro,  ;-25,4270135;-49,26459005;Centro
Estação-tubo Constantino Marochi, Canaleta Exclusiva BRT, Alto da Glória,  80030-150, Brasil ;-25,4161199;-49,261466;Alto da Glória
Estação Tubo Coqueiros, Canaleta Exclusiva BRT, Sítio Cercado,  81910-000, Brasil ;-25,5325708;-49,261782;Sítio Cercado
Estação-tubo Del, Amazor Prestes, Canaleta Exclusiva BRT, Capão da Imbuia,  82800-240, Brasil ;-25,441803;-49,2307669;Capão da Imbuia
Estação Tubo Dom Ático, Avenida Presidente Wenceslau Braz, Guaíra,  80610905, Brasil ;-25,4762588;-49,2802015;Guaíra
Estação tubo Dom Pedro I, Canaleta Exclusiva BRT, Água Verde,  80620010, Brasil ;-25,4569023;-49,2885505;Água Verde
Estação Tubo Érico Veríssimo, Canaleta Exclusiva BRT, Alto Boqueirão,  819200000, Brasil ;-25,5312493;-49,255334;Alto Boqueirão
Estação Tubo Erton Coelho, Canaleta Exclusiva BRT, Alto Boqueirão,  81770-340, Brasil ;-25,5252336;-49,2310412;Alto Boqueirão
Estação Tubo Central, Centro,  ;-25,4299604;-49,26750388;Centro
Estação Tubo Eucaliptos, Canaleta Exclusiva BRT, Alto Boqueirão,  81770-000, Brasil ;-25,529059;-49,2461877;Alto Boqueirão
Estação Tubo Euclides da Cunha, Canaleta Exclusiva BRT, Alto Boqueirão,  81770120, Brasil ;-25,5298311;-49,2501935;Alto Boqueirão
Estação-tubo Fernando de Noronha, Canaleta Exclusiva BRT, Boa Vista,  82510-290, Brasil ;-25,3851272;-49,2328402;Boa Vista
Estação Tubo Ferrovila, Prado Velho,  ;-25,46664465;-49,25432686;Prado Velho
Estação-tubo Gago Coutinho, Canaleta Exclusiva BRT, Bacacheri,  82510000, Brasil ;-25,395617;-49,2424311;Bacacheri
Estação-tubo Gastão Câmara, Canaleta Exclusiva BRT, Bigorrilho,  80730-000, Brasil ;-25,4349944;-49,3043674;Bigorrilho
Estação-tubo Germânia, Canaleta Exclusiva BRT, Cajuru,  82900-010, Brasil ;-25,4421663;-49,2177395;Cajuru
Estação Tubo Guadalupe, Centro,  ;-25,4330703;-49,26515754;Centro
