EDUCACAO_PARTICULAR;EDUCACAO_PUBLICA;LAZER_PARTICULAR;LAZER_PUBLICO;SAUDE_PARTICULAR;SAUDE_PUBLICA;SEGURANCA_PATRIMONIO;SEGURANCA_VIDA;TRANSPORTE_CICLOVIAS;TRANSPORTE_ONIBUS;ZONEAMENTO_COMERCIO;ZONEAMENTO_INDUSTRIA;BAIRRO;NOME DO BAIRRO;AREA;HABITANTES;DOMICILIOS;RENDA MEDIA;PRECO VENDA;LATITUDE;LONGITUDE
751,5800476;506,0021782;41,48675715;45,42647147;27,3509281;122,0879016;818,3820499;946,6181316;1698,777674;156,0853941;998,2975111;917,1920863;HAUER;HAUER;4,02;16621;4240;1615;4247;-25,47821583;-49,25232501
734,8314963;473,5830291;42,61791448;47,06952851;28,08189864;113,4950257;732,128968;900,425393;1655,048122;148,4888289;940,807849;850,1783664;HUGO LANGE;HUGO LANGE;1,15;3800;1010;3119;7354;-25,41775485;-49,24516062
759,8936588;495,5564643;43,43392003;46,878478;28,62124891;118,3653739;772,515396;935,9007649;1711,40085;155,8378743;980,0257596;889,2261298;JARDIM BOTÂNICO;JARDIM BOTÂNICO;2,77;7384;1980;1885;5796;-25,4428457;-49,24528743
720,4994017;465,1354455;41,71168635;46,39263252;27,38393784;111,8819038;720,9096509;884,6740781;1623,915355;145,9370248;926,3444059;838,0035088;JARDIM SOCIAL;JARDIM SOCIAL;1,89;7302;1674;4606;6905;-25,41785186;-49,23473061
734,2755691;485,9390504;41,24881927;44,98010999;27,0659177;117,7346686;763,5806263;914,875675;1649,463408;151,1213652;958,4416597;875,6516593;JD. DAS AMÉRICAS;JD. DAS AMÉRICAS;3,87;16759;3937;2304;6865;-25,45808679;-49,22947636
742,2798071;477,3351255;43,139537;47,62303758;28,54089531;114,0154173;735,3363745;907,5567148;1669,259121;149,2243695;945,9942402;854,2074124;JUVEVÊ;JUVEVÊ;1,23;13537;3994;3435;8379;-25,41468292;-49,25640754
603,2716753;392,0122289;34,77110233;39,50986439;23,27970109;93,46152861;600,4114461;738,3395765;1385,241984;118,1113865;766,0266304;698,9108838;LAMENHA PEQUENA;LAMENHA PEQUENA;3,4;841;188;665;4093;-25,36484514;-49,33726911
764,7650633;515,9260058;42,02961291;46,28951218;27,84451995;124,7450651;839,0641804;964,4089909;1742,271695;157,0924552;1026,951751;946,8538215;LINDOIA;LINDOIA;1,18;10012;2368;809;4744;-25,47773963;-49,27503221
749,8581988;487,7198434;42,83824102;47,4039346;28,84582567;115,2658497;745,0598134;920,1669989;1680,989486;148,2560247;953,2003418;868,4753209;MERCÊS;MERCÊS;3,28;16907;4681;2475;8308;-25,42214961;-49,29564775
714,271792;479,8314689;40,01547748;44,71695353;26,96851742;114,1495959;730,4663174;894,6341706;1630,737581;140,8965814;925,5205722;852,8925138;MOSSUNGUÊ;MOSSUNGUÊ;3,38;6754;1586;2965;7554;-25,43744948;-49,32544343
734,9701768;509,6763005;40,17742308;44,87427326;26,69762993;126,7662902;802,0079227;948,5201762;1690,695305;148,8271459;999,8966514;929,5019499;NOVO MUNDO;NOVO MUNDO;5,99;51599;12917;1040;5324;-25,48809745;-49,29577081
626,1232892;427,5774009;35,02747881;39,84922461;23,61110265;101,6482549;645,0458415;791,0327204;1449,059662;122,6277812;813,2218983;752,956534;ORLEANS;ORLEANS;5,12;8712;2077;1277;6220;-25,42556843;-49,36665336
778,9501808;514,7136257;43,6101255;46,88856319;28,83863075;122,6325519;820,531841;967,1620841;1753,245212;163,9476878;1023,676603;931,8344164;PAROLIN;PAROLIN;2,25;14378;3307;1365;5310;-25,46209854;-49,26231596
697,9804742;448,6607062;40,52607247;45,6185366;26,95942699;107,1830049;690,140888;851,3683085;1584,367941;138,0330195;884,9980443;801,5937587;PILARZINHO;PILARZINHO;7,13;33488;7883;1211;6117;-25,39018154;-49,28759357
672,3506972;488,6574747;36,26326579;41,00710797;24,0371242;120,0818651;751,5066285;902,2714123;1554,589117;136,4117998;924,9131407;873,9842445;PINHEIRINHO;PINHEIRINHO;10,73;32400;13839;707;4133;-25,52431758;-49,29130539
753,4060203;511,6736536;41,47715155;45,82539448;27,6955308;124,3245942;799,6963068;954,6476069;1718,483857;151,3312006;1003,420301;928,8473653;PORTÃO;PORTÃO;5,7;48882;13183;1722;5867;-25,47098676;-49,30028042
772,5300951;507,0467148;43,77861663;46,92929824;28,89651374;120,7938297;797,2091302;954,6284828;1742,023889;160,1945746;1002,848071;911,4793085;PRADO VELHO;PRADO VELHO;2,43;8501;1854;766;6356;-25,45316365;-49,25299393
788,8903102;513,1470325;45,31180894;47,79134266;30,05504246;120,5528277;791,7695901;966,6727223;1762,387752;160,184294;1007,707512;913,6233957;REBOUÇAS;REBOUÇAS;2,98;18742;5813;2180;6597;-25,4439;-49,26452233
600,7609572;416,0635362;33,43101595;38,21946606;22,54686409;99,1342959;624,6212632;767,1465354;1393,954607;117,6956591;785,9809233;729,9821264;RIVIERA;RIVIERA;2,36;244;62;423;4810;-25,43604159;-49,38092454
629,1032434;400,3082964;36,89688622;41,73472245;24,20129761;97,28830257;622,3837112;767,6167812;1432,242469;125,9398153;805,0102753;724,5678241;SANTA CÂNDIDA;SANTA CÂNDIDA;10,33;33444;7937;1211;3481;-25,36568213;-49,23126574
668,2131223;438,4502405;38,16877845;43,06286164;25,62852595;104,1798859;669,8621371;823,2363379;1527,313625;131,1549831;852,1630256;779,8941357;SANTA FELICIDADE;SANTA FELICIDADE;12,27;30251;7202;1314;5158;-25,39682687;-49,32745596
744,0517205;503,5952315;41,21750013;45,65682845;27,67279074;121,1095855;775,4205475;939,335317;1692,287062;148,1868525;978,9786609;904,3390327;SANTA QUITÉRIA;SANTA QUITÉRIA;2,09;14064;3407;1487;6103;-25,45980923;-49,31069929
706,1621409;470,7540376;39,78874986;44,54396909;26,81281482;111,7556317;716,7108267;879,4091457;1611,996502;139,0088763;909,3848831;836,2395421;SANTO INÁCIO;SANTO INÁCIO;2,72;7244;1683;1518;7043;-25,42661958;-49,32596894
651,3768172;437,3294274;36,6863235;41,52167492;24,70937479;103,8467937;663,5438932;813,530428;1500,35477;127,5827209;839,0709695;773,5982746;SÃO BRAZ;SÃO BRAZ;5,01;27743;6600;1206;4916;-25,41489084;-49,35009149
766,3601979;493,6895463;44,28378272;48,65558746;29,58983132;116,6653828;754,8022272;935,0409625;1705,36811;152,6135664;970,1812413;878,0499766;SÃO FRANCISCO;SÃO FRANCISCO;1,36;7722;2198;2309;7182;-25,42259344;-49,27549907
683,9886473;444,3837146;39,3393588;44,31783038;26,34122387;105,7161231;680,6301241;838,2891082;1556,721321;134,6000236;869,183597;791,9224585;SÃO JOÃO;SÃO JOÃO;3,03;3540;814;1166;4287;-25,39320624;-49,31106959
702,4136686;449,8957873;40,99266978;46,06270104;27,1200789;108,1609292;695,3090435;857,1969743;1598,166217;139,8521344;893,5005691;806,302989;SÃO LOURENÇO;SÃO LOURENÇO;2,26;6667;1603;2423;6515;-25,39116824;-49,26744001
616,5835777;450,4588102;33,53135171;38,68737376;22,488433;109,4461828;672,0758307;825,3069788;1434,585431;122,6976709;837,4322407;785,9511484;SÃO MIGUEL;SÃO MIGUEL;7;5893;1247;409;4105;-25,50399889;-49,3593439
758,0296601;504,6549691;42,30790793;46,45511493;28,48448;120,1606383;776,2780837;946,0907693;1709,504232;150,589109;984,4905693;905,2469116;SEMINÁRIO;SEMINÁRIO;2,13;8874;2243;3210;7527;-25,44952277;-49,30439159
639,2737634;473,6737612;34,29480864;38,63950698;22,64605475;113,2740622;718,2725034;872,096652;1468,174893;130,1849176;876,2801604;826,0274997;SITIO CERCADO;SITIO CERCADO;11,12;122881;27914;934;3191;-25,54315051;-49,26772719
661,2066775;422,6744389;38,64430324;43,69544117;25,58203899;101,658768;653,7485292;804,9941019;1510,543136;130,9053458;838,9894168;757,9649908;TABOÃO;TABOÃO;1,72;3202;751;1009;4952;-25,37133651;-49,27987985
710,380082;461,9995495;40,79104296;45,07619746;26,6645896;111,3865654;718,3589356;876,6303891;1597,217155;144,5999553;919,2562647;834,7552884;TARUMÃ;TARUMÃ;4,17;8454;2015;3029;5443;-25,42921367;-49,22131112
567,3962622;432,7983748;30,28836627;34,61752386;20,14587992;105,6189627;648,1005087;792,2661342;1318,603919;114,5813807;787,3911542;747,3513383;TATUQUARA;TATUQUARA;11,23;43607;9525;462;3093;-25,56677377;-49,32101629
654,6960124;419,1755494;38,20267799;43,00579494;25,00330466;101,7257579;651,1331846;802,4806526;1483,814737;131,8147304;842,4115185;759,8609797;TINGUI;TINGUI;2,11;13985;3495;1615;4688;-25,38665422;-49,22079745
695,6243346;474,6909117;38,31506954;42,17539729;25,1104424;114,5770229;744,9059846;887,1622965;1566,49687;143,0159411;921,5357973;851,1946298;UBERABA;UBERABA;14,09;72406;15482;952;3874;-25,48687506;-49,21888857
555,568349;423,9117689;29,54258749;33,53128557;19,55983813;102,240086;635,4927354;776,0026395;1283,823367;112,852457;770,0820554;730,8985977;UMBARÁ;UMBARÁ;22,47;17514;17064;908;2820;-25,58154934;-49,28842851
773,3303215;513,4625076;42,93805476;46,78489809;28,79755017;122,4087175;797,724442;964,2761583;1737,94423;154,5013691;1009,440885;927,8783741;VILA IZABEL;VILA IZABEL;1,21;13139;751;2438;7123;-25,45668406;-49,29520933
728,1407897;471,5418565;41,88441965;46,86244695;28,07314282;111,8626633;721,5391206;891,2303531;1641,219582;143,8892587;924,1142708;840,0382294;VISTA ALEGRE;VISTA ALEGRE;3,69;11916;2855;2079;5752;-25,4086704;-49,2950145
711,2975113;500,9296902;38,51518786;43,16247386;25,44180329;121,7952089;791,7108288;929,0477443;1625,389308;145,3036605;967,6925714;902,5104047;XAXIM;XAXIM;8,92;65629;15482;1211;4002;-25,50785;-49,26803512
