LOGRADOURO;BAIRRO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
EDUARDO PINTO DA ROCHA;SÍTIO CERCADO;55;COMERCIO;-25,5528589;-49,250452
Eduardo Pinto da Rocha;Sítio Cercado;17;COMERCIO;-25,5528589;-49,250452
R. EDUARDO PINTO DA ROCHA;ALTO BOQUEIRÃO;105;COMERCIO;-25,5528589;-49,250452
R. EDUARDO PINTO DA ROCHA;GANCHINHO;34;COMERCIO;-25,5528589;-49,250452
R. EDUARDO PINTO DA ROCHA;SÍTIO CERCADO;36;COMERCIO;-25,5528589;-49,250452
R. JOSÉ BASSA;SÍTIO CERCADO;4;INDUSTRIA;-25,5525172;-49,2635801
R. JOSÉ BASSA;SÍTIO CERCADO;41;COMERCIO;-25,5525172;-49,2635801
R. PINHALÃO;SÍTIO CERCADO;3;INDUSTRIA;-25,5524621;-49,2741964
R. JARDIM ALEGRE;SÍTIO CERCADO;5;INDUSTRIA;-25,5518758;-49,2524566
R. PAUL GARFUNKEL;CIDADE INDUSTRIAL;8;INDUSTRIA;-25,5518067;-49,3334788
R. COLOMBO;AHÚ;14;COMERCIO;-25,5514889;-49,2905631
R. HASDRUBAL BELLEGARD;CIDADE INDUSTRIAL;9;INDUSTRIA;-25,5512511;-49,3117796
R. JOÃO AMADEU PEDRO BOM;TATUQUARA;3;INDUSTRIA;-25,5511916;-49,2985943
R. JOÃO AMADEU PEDRO BOM;TATUQUARA;25;COMERCIO;-25,5511916;-49,2985943
R. JUNDIAI DO SUL;SÍTIO CERCADO;19;COMERCIO;-25,5507582;-49,2497302
R. JOÃO FERREIRA SOBRINHO;CIDADE INDUSTRIAL;6;INDUSTRIA;-25,5505779;-49,3299723
R. GABRIEL RIBEIRO;SÍTIO CERCADO;5;INDUSTRIA;-25,5504385;-49,2653207
R. GABRIEL RIBEIRO;SÍTIO CERCADO;22;COMERCIO;-25,5504385;-49,2653207
R. OTÁVIO AFONSO DA SILVA;SÍTIO CERCADO;3;INDUSTRIA;-25,5503057;-49,2645864
R. OTÁVIO AFONSO DA SILVA;SÍTIO CERCADO;15;COMERCIO;-25,5503057;-49,2645864
R. GOUBER PINTO DIONÍSIO;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,550053;-49,3073101
R. GOUBER PINTO DIONÍSIO;CIDADE INDUSTRIAL;17;COMERCIO;-25,550053;-49,3073101
R. MINISTRO FLÁVIO SUPLICY DE LACERDA;SÍTIO CERCADO;3;INDUSTRIA;-25,5500058;-49,2585906
R. HELENA GRODZKI;UMBARÁ;16;COMERCIO;-25,5499908;-49,2834122
R. IGNEZ DE SOUZA SOARES;TATUQUARA;5;INDUSTRIA;-25,549851;-49,2989766
R. IGNEZ DE SOUZA SOARES;TATUQUARA;18;COMERCIO;-25,549851;-49,2989766
R. DESEMBARGADOR CARLOS PINHEIRO GUIMARAES;SÍTIO CERCADO;6;INDUSTRIA;-25,5494387;-49,2596843
R. DESEMBARGADOR CARLOS PINHEIRO GUIMARAES;SÍTIO CERCADO;57;COMERCIO;-25,5494387;-49,2596843
R. PINHEIRO GUIMARÃES;PORTÃO;17;COMERCIO;-25,5494387;-49,2596843
R. JOÃO LUNARDELLI;CIDADE INDUSTRIAL;5;INDUSTRIA;-25,5493568;-49,3243682
R. ENGENHEIRO EDUARDO AFONSO NADOLNY;CIDADE INDUSTRIAL;7;INDUSTRIA;-25,5487501;-49,339956
R. ENGENHEIRO EDUARDO AFONSO NADOLNY;CIDADE INDUSTRIAL;98;COMERCIO;-25,5487501;-49,339956
R. LUPIONÓPOLIS;SÍTIO CERCADO;8;INDUSTRIA;-25,5472719;-49,2709916
R. LUPIONÓPOLIS;SÍTIO CERCADO;46;COMERCIO;-25,5472719;-49,2709916
R. NIVALDO MEDVID;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,5471261;-49,3314031
R. PAULO RIO BRANCO DE MACEDO;SÍTIO CERCADO;18;COMERCIO;-25,5465064;-49,2627902
R. OLIVIO DOMINGOS LEONARDI;SÍTIO CERCADO;4;INDUSTRIA;-25,5463474;-49,2685492
R. OLIVIO DOMINGOS LEONARDI;SÍTIO CERCADO;16;COMERCIO;-25,5463474;-49,2685492
R. THEREZA THOMAZZI;SÍTIO CERCADO;6;INDUSTRIA;-25,546324;-49,2854999
R. LUIZ STOPINSKI;CIDADE INDUSTRIAL;4;INDUSTRIA;-25,5461556;-49,3442573
R. OURIZONA;SÍTIO CERCADO;14;INDUSTRIA;-25,5460996;-49,2631334
R. OURIZONA;SÍTIO CERCADO;171;COMERCIO;-25,5460996;-49,2631334
R. GIACOMO LAFAIETTE MUNICH BASSI;SÍTIO CERCADO;15;COMERCIO;-25,5459868;-49,2678963
R. LUIZ GURGEL DO AMARAL VALENTE;SÍTIO CERCADO;20;COMERCIO;-25,5459268;-49,2700416
R. RUI RIVA DE ALMEIDA;CIDADE INDUSTRIAL;6;INDUSTRIA;-25,5458871;-49,3327645
R. LUIZ FERNANDO PINHEIRO LIMA DE ABREU;SÍTIO CERCADO;13;COMERCIO;-25,5455252;-49,2730163
R. TENENTE JÚLIO JACOBOSKI;SÍTIO CERCADO;4;INDUSTRIA;-25,5454757;-49,2593016
R. CORONEL DOMINGOS THEODORICO DE FREITAS;SÍTIO CERCADO;19;COMERCIO;-25,5454217;-49,2660533
R. NOVA AURORA;SÍTIO CERCADO;4;INDUSTRIA;-25,5453413;-49,2649329
R. NOVA AURORA;SÍTIO CERCADO;71;COMERCIO;-25,5453413;-49,2649329
R. TIJUCAS DO SUL;SÍTIO CERCADO;15;INDUSTRIA;-25,5452058;-49,2648024
R. TIJUCAS DO SUL;SÍTIO CERCADO;153;COMERCIO;-25,5452058;-49,2648024
R. CIDADE DE PALMAS;SÍTIO CERCADO;20;COMERCIO;-25,5450661;-49,250847
R. MÁRIO GASPARIN;SÍTIO CERCADO;4;INDUSTRIA;-25,544975;-49,2535507
R. MÁRIO GASPARIN;SÍTIO CERCADO;30;COMERCIO;-25,544975;-49,2535507
R. INAJÁ;PINHEIRINHO;3;INDUSTRIA;-25,5449678;-49,2907567
R. MOYSES GUTZTEIN;SÍTIO CERCADO;6;INDUSTRIA;-25,5448296;-49,2719463
R. RODOLPHO HATSCHBACH;CIDADE INDUSTRIAL;4;INDUSTRIA;-25,5446605;-49,3166479
R. CELESTE TORTATO GABARDO;SÍTIO CERCADO;9;INDUSTRIA;-25,544066;-49,2810614
R. CELESTE TORTATO GABARDO;SÍTIO CERCADO;104;COMERCIO;-25,544066;-49,2810614
R. CYRO CORREIA PEREIRA;CIDADE INDUSTRIAL;20;INDUSTRIA;-25,5439867;-49,3411499
R. CYRO CORREIA PEREIRA;CIDADE INDUSTRIAL;65;COMERCIO;-25,5439867;-49,3411499
R. ANA ALZIRA PEREIRA;SÍTIO CERCADO;6;INDUSTRIA;-25,5439459;-49,2629607
R. DOUTOR LIBANIO ESTANISLAU CARDOSO;CIDADE INDUSTRIAL;8;INDUSTRIA;-25,5438762;-49,3321164
R. ILNAH PACHECO SECUNDINO DE OLIVEIRA;CIDADE INDUSTRIAL;11;INDUSTRIA;-25,5438137;-49,3269497
R. APUCARANA;SÍTIO CERCADO;6;INDUSTRIA;-25,5437022;-49,2908577
R. APUCARANA;SÍTIO CERCADO;16;COMERCIO;-25,5437022;-49,2908577
R. CARLOS AMORETTY OSÓRIO;SÍTIO CERCADO;5;INDUSTRIA;-25,5434313;-49,2502128
R. MILTON MIRAMIR VISINONI;SÍTIO CERCADO;4;INDUSTRIA;-25,5434313;-49,2502128
R. AGENOR ANTONIO RODRIGUES;SÍTIO CERCADO;7;INDUSTRIA;-25,5432168;-49,2566174
R. AGENOR ANTONIO RODRIGUES;SÍTIO CERCADO;40;COMERCIO;-25,5432168;-49,2566174
R. CIPRIANO BARATA DE ALMEIDA;SÍTIO CERCADO;3;INDUSTRIA;-25,5431371;-49,2599919
R. MARCOLINA CAETANA CHAVES;SÍTIO CERCADO;3;INDUSTRIA;-25,5431219;-49,2623357
R. JOÃO GAPSKI;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,542811;-49,3408679
R. PROFESSORA AUGUSTA RIBAS;PINHEIRINHO;5;INDUSTRIA;-25,54248;-49,2963517
R. PROFESSORA AUGUSTA RIBAS;PINHEIRINHO;13;COMERCIO;-25,54248;-49,2963517
R. ASTORGA;SÍTIO CERCADO;11;INDUSTRIA;-25,5423902;-49,2842538
R. ASTORGA;SÍTIO CERCADO;17;COMERCIO;-25,5423902;-49,2842538
R. ARAPONGAS;SÍTIO CERCADO;3;INDUSTRIA;-25,5419285;-49,288702
R. ARAPONGAS;SÍTIO CERCADO;15;COMERCIO;-25,5419285;-49,288702
R. JUSSARA;SÍTIO CERCADO;14;INDUSTRIA;-25,5417318;-49,2558316
R. JUSSARA;SÍTIO CERCADO;138;COMERCIO;-25,5417318;-49,2558316
R. MARGARIDA DE ANDRADE WEBER;CIDADE INDUSTRIAL;20;COMERCIO;-25,5415772;-49,3389805
R. MANDIRITUBA;SÍTIO CERCADO;12;INDUSTRIA;-25,5414305;-49,2743368
R. MANDIRITUBA;SÍTIO CERCADO;51;COMERCIO;-25,5414305;-49,2743368
R. CALIFÓRNIA;SÍTIO CERCADO;14;COMERCIO;-25,5414297;-49,2779143
R. HENRIQUE PEREIRA DE CAMARGO;PINHEIRINHO;3;INDUSTRIA;-25,5407385;-49,2975272
R. VIDAL HENRIQUE MENGUE;PINHEIRINHO;6;INDUSTRIA;-25,5406891;-49,2984811
R. EDGARD CAVALCANTI DE ALBUQUERQUE;SÍTIO CERCADO;4;INDUSTRIA;-25,5404145;-49,2556538
R. EDGARD CAVALCANTI DE ALBUQUERQUE;SÍTIO CERCADO;25;COMERCIO;-25,5404145;-49,2556538
R. ARAPOTI;SÍTIO CERCADO;7;INDUSTRIA;-25,5403152;-49,2793345
R. LONDRINA;SÍTIO CERCADO;3;INDUSTRIA;-25,5402043;-49,2880469
R. LONDRINA;PINHEIRINHO;25;COMERCIO;-25,5402043;-49,2880469
R. LONDRINA;SÍTIO CERCADO;14;COMERCIO;-25,5402043;-49,2880469
R. PROFESSORA LUIZA BORGES FANINI;SÍTIO CERCADO;14;COMERCIO;-25,5400519;-49,2656235
R. BANDEIRANTES;SÍTIO CERCADO;3;INDUSTRIA;-25,5397408;-49,2876159
R. BANDEIRANTES;SÍTIO CERCADO;15;COMERCIO;-25,5397408;-49,2876159
R. SERTANEJA;SÍTIO CERCADO;20;COMERCIO;-25,5395834;-49,2837679
R. IBAITÍ;SÍTIO CERCADO;5;INDUSTRIA;-25,5392362;-49,2818058
R. IBAITÍ;SÍTIO CERCADO;14;COMERCIO;-25,5392362;-49,2818058
R. EXPEDICIONÁRIO FRANCISCO PEREIRA DOS SANTOS;ALTO BOQUEIRÃO;13;COMERCIO;-25,5391841;-49,2480773
R. ALMEZINA EUGÊNIA FERREIRA;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,5391056;-49,3350234
R. CRUZEIRO DO SUL;SÍTIO CERCADO;4;INDUSTRIA;-25,5386998;-49,2812243
R. CRUZEIRO DO SUL;SÍTIO CERCADO;48;COMERCIO;-25,5386998;-49,2812243
R. MARIALVA;SÍTIO CERCADO;4;INDUSTRIA;-25,5386819;-49,2887703
FRANCISCO CLAUDINO FERREIRA;SÍTIO CERCADO;13;COMERCIO;-25,5381045;-49,1555287
R. DOUTOR PLÍNIO GONÇALVES MARQUES;PINHEIRINHO;6;INDUSTRIA;-25,5380573;-49,2958139
R. DOUTOR PLÍNIO GONÇALVES MARQUES;PINHEIRINHO;23;COMERCIO;-25,5380573;-49,2958139
R. CARLÓPOLIS;PINHEIRINHO;4;INDUSTRIA;-25,5377779;-49,2937806
R. DONATO CRACCO;SÍTIO CERCADO;14;COMERCIO;-25,5374363;-49,2594448
R. AGUDOS DO SUL;SÍTIO CERCADO;4;INDUSTRIA;-25,5368077;-49,2711251
R. AGUDOS DO SUL;SÍTIO CERCADO;21;COMERCIO;-25,5368077;-49,2711251
R. CAMPO MOURÃO;ALTO BOQUEIRÃO;5;INDUSTRIA;-25,5366726;-49,2407001
R. CAMPO MOURÃO;ALTO BOQUEIRÃO;27;COMERCIO;-25,5366726;-49,2407001
R. PAULO MASS;SÍTIO CERCADO;13;COMERCIO;-25,5365306;-49,2580924
R. DOUTOR LAURO GENTIO PORTUGAL TAVARES;SÍTIO CERCADO;6;INDUSTRIA;-25,5362528;-49,2613776
R. DOUTOR LAURO GENTIO PORTUGAL TAVARES;SÍTIO CERCADO;20;COMERCIO;-25,5362528;-49,2613776
R. ALFONSO OSVALDO GRELLMANN;PINHEIRINHO;3;INDUSTRIA;-25,5362087;-49,2970044
R. ADRIANÓPOLIS;SÍTIO CERCADO;13;COMERCIO;-25,535544;-49,2776877
R. LA SALLE;PINHEIRINHO;3;INDUSTRIA;-25,535434;-49,2860533
R. LA SALLE;PINHEIRINHO;17;COMERCIO;-25,535434;-49,2860533
R. BRASÍLIO PERY MOREIRA;PINHEIRINHO;3;INDUSTRIA;-25,5352263;-49,2989505
R. JOSÉ FERREIRA DE BARROS;FANNY;4;INDUSTRIA;-25,5351677;-49,2542835
R. JOSÉ FERREIRA DE BARROS;FANNY;18;COMERCIO;-25,5351677;-49,2542835
R. MARTE;SÍTIO CERCADO;4;INDUSTRIA;-25,5348738;-49,2786457
MARTE;SÍTIO CERCADO;42;COMERCIO;-25,5348738;-49,2786457
R. MARTE;SÍTIO CERCADO;60;COMERCIO;-25,5348738;-49,2786457
RUA MARTE;SÍTIO CERCADO;13;COMERCIO;-25,5348738;-49,2786457
R. SENADOR ACCIOLY FILHO;CIDADE INDUSTRIAL;11;INDUSTRIA;-25,5348349;-49,26836
R. SENADOR ACCIOLY FILHO;CIDADE INDUSTRIAL;38;COMERCIO;-25,5348349;-49,26836
R. BALSA NOVA;SÍTIO CERCADO;3;INDUSTRIA;-25,5346854;-49,2738171
R. DANILO PEDRO SCHREINER;ALTO BOQUEIRÃO;18;COMERCIO;-25,5345839;-49,2466955
R. MOREIRA SALES;SÍTIO CERCADO;5;INDUSTRIA;-25,5344823;-49,2643211
R. ELISEU JOSE HIPOLITO;ALTO BOQUEIRÃO;3;INDUSTRIA;-25,5343475;-49,2458069
R. JAGUAPITÃ;ALTO BOQUEIRÃO;16;COMERCIO;-25,534252;-49,2354424
R. TREZE DE MAIO;CENTRO;4;INDUSTRIA;-25,5334434;-48,5232587
R. TREZE DE MAIO;CENTRO;58;COMERCIO;-25,5334434;-48,5232587
R. TREZE DE MAIO;SÃO FRANCISCO;28;COMERCIO;-25,5334434;-48,5232587
R. LEÓPOLIS;ALTO BOQUEIRÃO;3;INDUSTRIA;-25,5332359;-49,2331149
R. DA LUA;SÍTIO CERCADO;5;INDUSTRIA;-25,5331335;-49,2611624
R. DA LUA;SÍTIO CERCADO;27;COMERCIO;-25,5331335;-49,2611624
R. JORGE SIMÃO;ALTO BOQUEIRÃO;4;INDUSTRIA;-25,5330868;-49,247194
R. ROGÉRIO XAVIER ROCHA LOURES;PINHEIRINHO;3;INDUSTRIA;-25,5328626;-49,2836221
R. ROGÉRIO XAVIER ROCHA LOURES;PINHEIRINHO;18;COMERCIO;-25,5328626;-49,2836221
R. MARECHAL HUGO PANASCO ALVIM;ALTO BOQUEIRÃO;13;COMERCIO;-25,5325725;-49,247367
R. DOUTOR LEVY BUQUERA;SÍTIO CERCADO;23;COMERCIO;-25,5323406;-49,2671396
R. AVELINA DA LUZ DA SILVA;SÍTIO CERCADO;3;INDUSTRIA;-25,5321915;-49,2589147
R. IVAIPORÃ;ALTO BOQUEIRÃO;4;INDUSTRIA;-25,5321783;-49,2336493
R. CORONEL VICTOR AGNER KENDRICK;SÍTIO CERCADO;4;INDUSTRIA;-25,5320968;-49,257285
R. CORONEL VICTOR AGNER KENDRICK;SÍTIO CERCADO;21;COMERCIO;-25,5320968;-49,257285
R. DEPUTADO ULISSES GUIMARÃES;PINHEIRINHO;3;INDUSTRIA;-25,5320636;-49,2828924
R. SANT ANA DO ITARARÉ;SÍTIO CERCADO;4;INDUSTRIA;-25,5320249;-49,2649029
R. SANT ANA DO ITARARÉ;SÍTIO CERCADO;44;COMERCIO;-25,5320249;-49,2649029
R. EXPEDICIONÁRIO FRANCISCO A DE OLIVEIRA;ALTO BOQUEIRÃO;6;INDUSTRIA;-25,5314676;-49,249913
R. EXPEDICIONÁRIO FRANCISCO A DE OLIVEIRA;ALTO BOQUEIRÃO;23;COMERCIO;-25,5314676;-49,249913
R. MERCÚRIO;SÍTIO CERCADO;5;INDUSTRIA;-25,531157;-49,2643196
R. MIGUEL OLESKOWICZ;SÍTIO CERCADO;13;COMERCIO;-25,5306629;-49,2595191
AL. NOSSA SENHORA DO SAGRADO CORAÇÃO;PINHEIRINHO;10;INDUSTRIA;-25,5306044;-49,2953218
AL. NOSSA SENHORA DO SAGRADO CORAÇÃO;PINHEIRINHO;79;COMERCIO;-25,5306044;-49,2953218
R. EMILIO ROMANI;CIDADE INDUSTRIAL;8;INDUSTRIA;-25,5302244;-49,3354421
R. PEDRO FREDERICO VOLUZ;PINHEIRINHO;13;COMERCIO;-25,5301701;-49,291465
R. LUIZ CARLOS MUGGIATI;ALTO BOQUEIRÃO;14;COMERCIO;-25,5300502;-49,2426278
R. PROFESSOR RAUL RODRIGUES GOMES;ALTO BOQUEIRÃO;3;INDUSTRIA;-25,5299125;-49,2391733
R. VALDIR MAZZUCO;SÍTIO CERCADO;3;INDUSTRIA;-25,5297644;-49,2693054
R. DOS PIONEIROS;SÍTIO CERCADO;6;INDUSTRIA;-25,5296769;-49,2488227
R. DOS PIONEIROS;SÍTIO CERCADO;57;COMERCIO;-25,5296769;-49,2488227
R. SATURNO;SÍTIO CERCADO;5;INDUSTRIA;-25,5294544;-49,2654745
R. SATURNO;SÍTIO CERCADO;13;COMERCIO;-25,5294544;-49,2654745
