EDUCACAO_PARTICULAR;EDUCACAO_PUBLICA;LAZER_PARTICULAR;LAZER_PUBLICO;SAUDE_PARTICULAR;SAUDE_PUBLICA;SEGURANCA_PATRIMONIO;SEGURANCA_VIDA;TRANSPORTE_CICLOVIAS;TRANSPORTE_ONIBUS;ZONEAMENTO_COMERCIO;ZONEAMENTO_INDUSTRIA;BAIRRO;NOME DO BAIRRO;AREA;HABITANTES;DOMICILIOS;RENDA MEDIA;PRECO ALUGUEL;LATITUDE;LONGITUDE
793,0921154;519,5680415;44,34932327;47,44426142;29,60965094;122,4433033;808,0376918;982,4209561;1761,25004;159,4278685;1027,570285;936,1750093;ÁGUA VERDE;ÁGUA VERDE;4,76;59839;17045;3332;1930;-25,45352011;-49,28097109
722,6336885;463,5464495;42,09330272;47,04672827;27,86473998;111,1415224;714,828526;882,6219833;1634,042949;144,4325942;920,1280814;830,2118381;AHÚ;AHÚ;1,84;13378;3608;2827;1810;-25,40209159;-49,2623138
635,8266601;461,0330651;34,205394;38,22360755;22,48978793;109,8914804;706,8822227;850,3599394;1447,891092;129,9669093;862,2743049;807,8027529;ALTO BOQUEIRÃO;ALTO BOQUEIRÃO;12,11;61386;14301;1110;1150;-25,53822236;-49,23640722
755,6509703;486,2688605;43,87265047;48,08215813;29,10075036;115,6285615;747,1653742;923,3123276;1692,27609;151,7836195;960,551384;867,7064089;ALTO DA GLÓRIA;ALTO DA GLÓRIA;0,88;6706;2125;3263;2290;-25,41972151;-49,26175602
753,1563068;486,5537487;43,56940929;47,46727308;28,76335836;116,0320742;751,7207257;922,8970548;1692,115537;152,5922104;963,0607551;871,0192016;ALTO DA XV;ALTO DA XV;1,5;10420;3084;2612;1750;-25,42681768;-49,24965801
631,5551883;404,4976759;36,78656445;41,34666457;24,00962651;98,14808082;629,1446134;774,2838225;1428,033108;127,461376;814,5621855;734,7699542;ATUBA;ATUBA;4,27;15158;3627;1211;960;-25,38662542;-49,2044388
687,3519826;441,4331061;40,01771561;44,92686058;26,23909135;106,8300702;684,6941808;843,3199383;1555,861682;138,5554157;883,8741622;797,8581043;BACACHERI;BACACHERI;6,98;27727;7107;3029;1690;-25,39934206;-49,23022281
666,0758656;430,3437192;38,52606569;43,03791736;25,12414277;104,1274904;668,8107036;820,4584151;1501,021028;135,0030154;862,2288346;780,842771;BAIRRO ALTO;BAIRRO ALTO;7,02;50440;12071;1211;1270;-25,40964087;-49,20717506
654,8306942;417,3666664;38,38151746;43,44032761;25,29827076;101,1210552;648,6763572;798,186386;1496,791492;130,3457347;833,9718129;751,3717544;BARREIRINHA;BARREIRINHA;3,73;20425;5024;1272;970;-25,36945526;-49,25851041
782,6142315;510,4413083;44,25359422;47,7030281;29,90847371;120,0058396;782,2825988;963,6219743;1735,798631;155,3470698;998,4675819;911,6785357;BATEL;BATEL;1,76;14134;3938;5120;2350;-25,44085746;-49,28819783
751,9976978;492,4163701;42,66070187;47,01957088;28,78747969;116,399717;752,4473815;927,0116932;1688,800387;148,6479766;960,3066292;877,6633801;BIGORRILHO;BIGORRILHO;3,5;32552;9937;3792;1650;-25,4293926;-49,30087933
683,2419177;437,0551281;39,93910623;44,9508912;26,29140979;106,2328607;678,1578351;836,4008828;1555,112279;136,7642756;874,3580824;787,462127;BOA VISTA;BOA VISTA;5,14;35269;9212;1817;1700;-25,38669518;-49,24766126
739,6895572;475,8067921;42,87243416;47,99545621;28,57285606;113,1461325;729,7470782;902,768222;1661,903392;147,1060171;937,9652801;848,5321435;BOM RETIRO;BOM RETIRO;1,94;6760;1780;2132;1870;-25,40922761;-49,27676037
701,2256981;486,1439151;38,22019866;42,31603451;25,12150324;117,0826135;767,1074897;903,9563582;1589,070904;144,0845282;938,0797759;869,9352742;BOQUEIRÃO;BOQUEIRÃO;14,8;82194;19750;1413;915;-25,50134774;-49,2361879
721,4341247;463,2730232;42,00038454;46,79733655;27,70659106;111,3590533;715,80516;882,8025806;1630,738669;144,9749017;922,1212503;831,9390778;CABRAL;CABRAL;2,04;14064;3774;3914;1630;-25,40609542;-49,2501999
623,1464585;395,5760116;36,59766095;41,60502522;24,12131105;95,79909537;614,7477257;757,0301564;1424,967494;123,7942967;792,0021935;713,1979656;CACHOEIRA;CACHOEIRA;3,07;9286;2091;908;945;-25,35407224;-49,25971471
691,8558005;460,3124643;38,80215538;42,6569044;25,35103814;111,2698802;717,7891671;869,2153878;1550,260381;141,5716272;906,4213497;829,0862566;CAJURU;CAJURU;11,55;107741;14301;793;1570;-25,45862973;-49,2068117
745,7050103;494,5725782;41,90021464;46,2636279;28,2625365;117,3794157;756,5185155;927,3047904;1685,498732;147,5212568;961,597011;882,8671276;CAMPINA DO SIQUEIRA;CAMPINA DO SIQUEIRA;1,69;8530;2238;1903;1590;-25,43898924;-49,30921618
709,682129;486,7947575;39,32932419;44,15507194;26,45092807;116,8083526;740,1573028;902,9813487;1626,752149;140,5831763;934,158336;864,9922004;CAMPO COMPRIDO;CAMPO COMPRIDO;8,55;25966;6649;1216;1750;-25,45672296;-49,32899843
504,1370556;392,433851;26,68613916;30,52455193;17,75087716;95,18353185;582,9013382;715,1208071;1171,937239;101,9569232;703,5885202;669,8966326;CAMPO DE SANTANA;CAMPO DE SANTANA;21,57;8802;1961;564;980;-25,59742053;-49,32425008
704,4325092;460,5168469;40,19020806;44,29837164;26,25194947;111,1601449;716,9188639;872,5431895;1581,462729;143,6433567;914,6390897;831,9432354;CAPÃO DA IMBUIA;CAPÃO DA IMBUIA;3,16;25171;6209;1147;1500;-25,43657647;-49,21530693
705,8420175;501,1376298;38,31411531;43,17514247;25,42967961;125,2080617;781,0928439;928,4957992;1629,328338;143,0928418;969,4732402;914,4990832;CAPÃO RASO;CAPÃO RASO;5,06;41251;10320;977;1250;-25,50532703;-49,29512495
783,96557;505,4726898;45,40021259;48,30511899;30,22373641;118,9096915;772,8827306;956,2335227;1735,379712;156,7210925;990,7274247;897,141852;CENTRO;CENTRO;3,3;39148;14576;2221;2000;-25,4325269;-49,26964654
750,4863432;482,5479504;43,55782033;48,26134913;28,9646683;114,7166467;740,3901647;916,1336558;1681,432952;150,0005517;952,4854125;860,57137;CENTRO CÍVICO;CENTRO CÍVICO;0,97;5720;1958;2878;2300;-25,41498464;-49,26853447
648,9113724;473,105564;35,2515141;40,39528797;23,57215687;115,8635811;710,5752115;867,7276108;1507,873741;129,8106302;884,9904679;831,3988765;CIDADE INDUSTRIAL;CIDADE INDUSTRIAL;43,38;188953;43494;639;1430;-25,50696564;-49,33819769
750,354715;486,7149933;43,17777542;46,9883426;28,43740793;116,354741;755,1371437;921,8247105;1687,858616;152,8374842;964,0867307;873,2322251;CRISTO REI;CRISTO REI;1,46;15990;5128;2603;1930;-25,43301673;-49,24325033
701,6261998;494,4226656;38,46049246;43,50555484;25,74502138;120,778258;751,9157771;912,0226735;1618,069459;140,1395917;944,0996494;879,2383683;FAZENDINHA;FAZENDINHA;3,72;31346;12071;833;1300;-25,48149102;-49,32486676
752,7676504;499,6854997;42,13983613;45,73250291;27,73374092;120,5123329;793,271512;938,7257801;1696,10006;156,255261;986,6482609;901,672587;GUABIROTUBA;GUABIROTUBA;2,63;12814;3068;1720;1570;-25,46392176;-49,24272549
778,4135595;518,0386706;42,98729013;46,74651498;28,51416311;124,172984;834,2148525;971,6971232;1759,631092;159,9157366;1037,113179;951,1514666;GUAÍRA;GUAÍRA;2,32;17122;4187;1235;930;-25,46916129;-49,2748558
751,5800476;506,0021782;41,48675715;45,42647147;27,3509281;122,0879016;818,3820499;946,6181316;1698,777674;156,0853941;998,2975111;917,1920863;HAUER;HAUER;4,02;16621;4240;1615;1560;-25,47821583;-49,25232501
734,8314963;473,5830291;42,61791448;47,06952851;28,08189864;113,4950257;732,128968;900,425393;1655,048122;148,4888289;940,807849;850,1783664;HUGO LANGE;HUGO LANGE;1,15;3800;1010;3119;2260;-25,41775485;-49,24516062
759,8936588;495,5564643;43,43392003;46,878478;28,62124891;118,3653739;772,515396;935,9007649;1711,40085;155,8378743;980,0257596;889,2261298;JARDIM BOTÂNICO;JARDIM BOTÂNICO;2,77;7384;1980;1885;1930;-25,4428457;-49,24528743
742,2798071;477,3351255;43,139537;47,62303758;28,54089531;114,0154173;735,3363745;907,5567148;1669,259121;149,2243695;945,9942402;854,2074124;JUVEVÊ;JUVEVÊ;1,23;13537;3994;3435;1990;-25,41468292;-49,25640754
