LOGRADOURO;BAIRRO ALTO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
GENERAL CARNEIRO;ALTO DA GLÓRIA;18;VIDA;-25,4240364;-49,2626657
GENERAL CARNEIRO;CENTRO;17;PATRIMONIO;-25,4240364;-49,2626657
GENERAL CARNEIRO;CENTRO;9;VIDA;-25,4240364;-49,2626657
GENERAL CARNEIRO;ALTO DA GLÓRIA;6;PATRIMONIO;-25,4240364;-49,2626657
ANTONIO PAROLIN JUNIOR;PAROLIN;17;PATRIMONIO;-25,4636397;-49,2626403
ANTONIO PAROLIN JUNIOR;PAROLIN;7;VIDA;-25,4636397;-49,2626403
AMINTAS DE BARROS;CENTRO;28;PATRIMONIO;-25,4266557;-49,2625699
AMINTAS DE BARROS;CENTRO;12;VIDA;-25,4266557;-49,2625699
AMINTAS DE BARROS;ALTO DA RUA XV;7;PATRIMONIO;-25,4266557;-49,2625699
COMENDADOR MACEDO;CENTRO;5;VIDA;-25,4308119;-49,2625375
COMENDADOR MACEDO;CENTRO;5;PATRIMONIO;-25,4308119;-49,2625375
COMENDADOR MACEDO;CENTRO;5;PATRIMONIO;-25,4308119;-49,2625375
BENJAMIN ZILLI;AHÚ;5;VIDA;-25,4035357;-49,2624537
MARCOLINA CAETANA CHAVES;SÍTIO CERCADO;45;PATRIMONIO;-25,5431219;-49,2623357
MARCOLINA CAETANA CHAVES;SÍTIO CERCADO;2;VIDA;-25,5431219;-49,2623357
VEREADOR OSWALDO NASCIMENTO BITTENCOURT;XAXIM;6;PATRIMONIO;-25,4985847;-49,2623348
VEREADOR OSWALDO NASCIMENTO BITTENCOURT;XAXIM;3;VIDA;-25,4985847;-49,2623348
VEREADOR OSWALDO NASCIMENTO BITTENCOURT;XAXIM;5;PATRIMONIO;-25,4985847;-49,2623348
ANA MARIA FOGGIATTO RODA;SÍTIO CERCADO;12;PATRIMONIO;-25,5585288;-49,262304
JOSÉ SPERANCETTA;SÃO LOURENÇO;2;VIDA;-25,386683;-49,2622956
MAUÁ;ALTO DA GLÓRIA;2;VIDA;-25,4182065;-49,2621976
SANTA GEMA GALGANI;BARREIRINHA;2;VIDA;-25,3649702;-49,2619981
TUFFI GARIBA;BARREIRINHA;3;VIDA;-25,3779785;-49,2619847
NILO CAIRO;CENTRO;8;PATRIMONIO;-25,4320125;-49,2619334
NILO CAIRO;CENTRO;5;VIDA;-25,4320125;-49,2619334
CHANC. OSWALDO ARANHA;BOQUEIRÃO;10;PATRIMONIO;-25,49162177;-49,2619053
AARÃO LAMENHA DE SIQUEIRA;SÍTIO CERCADO;24;PATRIMONIO;-25,5415602;-49,2618121
AARÃO LAMENHA DE SIQUEIRA;SÍTIO CERCADO;3;VIDA;-25,5415602;-49,2618121
DOUTOR FAIVRE;CENTRO;26;PATRIMONIO;-25,4281438;-49,2618004
DOUTOR FAIVRE;CENTRO;9;VIDA;-25,4281438;-49,2618004
GILMAR JOSÉ CARNEIRO;XAXIM;2;VIDA;-25,5023782;-49,2617863
ANDRÉ FERREIRA CAMARGO;BOQUEIRÃO;19;PATRIMONIO;-25,4921948;-49,261649
ANDRÉ FERREIRA CAMARGO;BOQUEIRÃO;2;VIDA;-25,4921948;-49,261649
D. GERALDO MICHELETTO PELLANDA;SÍTIO CERCADO;17;PATRIMONIO;-25,556994;-49,2615687
DOM GERALDO MICHELETTO PELLANDA;SÍTIO CERCADO;6;PATRIMONIO;-25,556994;-49,2615687
D. GERALDO MICHELETTO PELLANDA;SÍTIO CERCADO;3;VIDA;-25,556994;-49,2615687
DOM GERALDO MICHELETTO PELLANDA;SÍTIO CERCADO;3;VIDA;-25,556994;-49,2615687
RAGGI IZAR;BOQUEIRÃO;2;VIDA;-25,4867137;-49,261506
AUGUSTO SEVERO;ALTO DA GLÓRIA;3;VIDA;-25,4171061;-49,2614678
JULIA FECCI MELLO;SÍTIO CERCADO;30;PATRIMONIO;-25,5575816;-49,2614623
DOUTOR LAURO GENTIO PORTUGAL TAVARES;SÍTIO CERCADO;8;PATRIMONIO;-25,5362528;-49,2613776
DOUTOR LAURO GENTIO PORTUGAL TAVARES;ALTO BOQUEIRÃO;5;PATRIMONIO;-25,5362528;-49,2613776
DAVID TOWS;SÍTIO CERCADO;18;PATRIMONIO;-25,5203434;-49,2613497
DAVID TOWS;SÍTIO CERCADO;17;VIDA;-25,5203434;-49,2613497
DAVID TOWS;XAXIM;6;PATRIMONIO;-25,5203434;-49,2613497
DAVID TOWS;XAXIM;3;VIDA;-25,5203434;-49,2613497
NUNES MACHADO;REBOUÇAS;16;VIDA;-25,4664348;-49,2613138
NUNES MACHADO;REBOUÇAS;13;PATRIMONIO;-25,4664348;-49,2613138
NUNES MACHADO;CENTRO;6;VIDA;-25,4664348;-49,2613138
NUNES MACHADO;CENTRO;6;PATRIMONIO;-25,4664348;-49,2613138
JOÃO BATISTA ZAGONEL PASSOS;XAXIM;18;PATRIMONIO;-25,5215442;-49,261205
CONSELHEIRO DANTAS;REBOUÇAS;9;PATRIMONIO;-25,4503192;-49,2611793
DA LUA;SÍTIO CERCADO;2;VIDA;-25,5331335;-49,2611624
ROBERTO DALA BARBA;SÍTIO CERCADO;14;PATRIMONIO;-25,55785388;-49,26114356
FRANCISCO PAROLIN;PAROLIN;92;PATRIMONIO;-25,4641413;-49,261043
FRANCISCO PAROLIN;PAROLIN;10;VIDA;-25,4641413;-49,261043
DO GANCHINHO - LE;SÍTIO CERCADO;8;PATRIMONIO;-25,5971914;-49,2609921
LEÔNCIO LOPES CORTIANO;XAXIM;10;PATRIMONIO;-25,5052053;-49,2609885
LEÔNCIO LOPES CORTIANO;XAXIM;4;VIDA;-25,5052053;-49,2609885
JOSÉ CARLOS PUPPI;BARREIRINHA;13;PATRIMONIO;-25,3778873;-49,2609759
JOSÉ CARLOS PUPPI;BARREIRINHA;5;VIDA;-25,3778873;-49,2609759
JOÃO PAROLIN;PAROLIN;11;PATRIMONIO;-25,4582533;-49,2609444
ANTÔNIO JOSÉ BONATO;GANCHINHO;11;PATRIMONIO;-25,5280988;-49,2609099
ANTÔNIO JOSÉ BONATO;GANCHINHO;3;VIDA;-25,5280988;-49,2609099
GARIBALDI;SÃO FRANCISCO;38;PATRIMONIO;-25,370426;-49,2608848
GARIBALDI;SÃO FRANCISCO;35;VIDA;-25,370426;-49,2608848
