LOGRADOURO;BAIRRO ALTO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
APUCARANA;SÍTIO CERCADO;9;VIDA;-25,5428421;-49,28429589
APUCARANA;SÍTIO CERCADO;6;PATRIMONIO;-25,5428421;-49,28429589
EUFRÁSIO CORREIA;CENTRO;54;PATRIMONIO;-25,43729089;-49,26657121
EUFRÁSIO CORREIA;CENTRO;28;VIDA;-25,43729089;-49,26657121
PLÍNIO TOURINHO;JARDIM BOTÂNICO;14;PATRIMONIO;-26,0902889;-49,7864801
PLÍNIO TOURINHO;JARDIM BOTÂNICO;7;VIDA;-26,0902889;-49,7864801
engenheiro bley;TATUQUARA;3;VIDA;-25,6103244;-49,7375965
BOCAIUVA;SANTA QUITÉRIA;17;PATRIMONIO;-25,4677741;-49,5174506
BOCAIUVA;SANTA QUITÉRIA;3;VIDA;-25,4677741;-49,5174506
PIRAÍ DO SUL;AUGUSTA;43;PATRIMONIO;-25,4558873;-49,3784863
PIRAÍ DO SUL;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4558873;-49,3784863
PIRAÍ DO SUL;AUGUSTA;3;VIDA;-25,4558873;-49,3784863
CRUZEIRO DO OESTE;AUGUSTA;2;VIDA;-25,4551809;-49,3765658
ÂNGELO MARQUETO;AUGUSTA;17;PATRIMONIO;-25,474499;-49,3748721
ÂNGELO MARQUETO;AUGUSTA;4;VIDA;-25,474499;-49,3748721
CIDADE JARDIM OLINDA;AUGUSTA;2;VIDA;-25,4560334;-49,3736147
AUGUSTO BECK;AUGUSTA;6;PATRIMONIO;-25,47498;-49,3638043
JUSCELINO KUBITSCHEK DE OLIVEIRA;CIDADE INDUSTRIAL;25;PATRIMONIO;-25,4528492;-49,3625138
JUSCELINO KUBITSCHEK DE OLIVEIRA LE;CIDADE INDUSTRIAL;12;PATRIMONIO;-25,4528492;-49,3625138
JUSCELINO KUBITSCHEK DE OLIVEIRA;CIDADE INDUSTRIAL;8;VIDA;-25,4528492;-49,3625138
JOSÉ PICUSSA;AUGUSTA;7;PATRIMONIO;-25,4738654;-49,3612091
HERMENEGILDO LUCA;BUTIATUVINHA;7;PATRIMONIO;-25,4101456;-49,3609938
FREDERICO ESCORSIN;SÃO BRAZ;70;PATRIMONIO;-25,4192357;-49,3607353
FREDERICO ESCORSIN;SÃO BRAZ;4;VIDA;-25,4192357;-49,3607353
ENGENHEIRO JOÃO VISINONI;CIDADE INDUSTRIAL;10;PATRIMONIO;-25,4378069;-49,360039
ENGENHEIRO JOÃO VISINONI;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4378069;-49,360039
ANTONIO KAMINSKI;ORLEANS;2;VIDA;-25,4736436;-49,3599949
PROFESSOR LUCIR GALLIERI;SÃO BRAZ;2;VIDA;-25,4166019;-49,3594458
STANISLAU FELIBRANTE;AUGUSTA;23;PATRIMONIO;-25,477867;-49,3592984
STANISLAU FELIBRANTE;AUGUSTA;3;VIDA;-25,477867;-49,3592984
DOS IPES;BARREIRINHA;15;PATRIMONIO;-25,3743569;-49,3585092
MARIA HOMAN WISNIEWSKI;CIDADE INDUSTRIAL;192;PATRIMONIO;-25,4562519;-49,3584384
MARIA HOMAN WISNIEWSKI;CIDADE INDUSTRIAL;7;VIDA;-25,4562519;-49,3584384
JOSÉ RUBENS DE LIMA;SÃO BRAZ;2;VIDA;-25,4136354;-49,3582494
ANTÔNIO DE PAULA CHANOSKY;SÃO BRAZ;2;VIDA;-25,419401;-49,35817
PADRE ESTANISLAU PIASECKI;CIDADE INDUSTRIAL;12;PATRIMONIO;-25,4361932;-49,3581513
PADRE ESTANISLAU PIASECKI;CIDADE INDUSTRIAL;10;VIDA;-25,4361932;-49,3581513
PADRE ESTANISLAU PIASECKI;CIDADE INDUSTRIAL;15;PATRIMONIO;-25,4361932;-49,3581513
CIDADE DE ITAPETININGA;AUGUSTA;3;VIDA;-25,4900236;-49,3577799
ROGERIO PEREIRA DE CAMARGO;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4424299;-49,3576744
PAULO JULIO REKSIDLER;SÃO MIGUEL;10;PATRIMONIO;-25,49811168;-49,35764159
CARLOS EDUARDO MARTINS MERCER;SÃO MIGUEL;2;VIDA;-25,4991877;-49,357565
ANTÔNIO PAVELSKI;AUGUSTA;15;VIDA;-25,4794413;-49,3575018
ANTÔNIO PAVELSKI;AUGUSTA;14;PATRIMONIO;-25,4794413;-49,3575018
TOMAZ PARIS;SANTA FELICIDADE;8;PATRIMONIO;-25,4124742;-49,3574844
JAN FREDERIK DE JAGER;AUGUSTA;22;PATRIMONIO;-25,48999083;-49,35734703
PADRE VICTOR DEWOR;CIDADE INDUSTRIAL;3;VIDA;-25,4393556;-49,356778
THEODORO LOCKER;CIDADE INDUSTRIAL;2;VIDA;-25,4654051;-49,3561807
MANOEL;SÍTIO CERCADO;8;PATRIMONIO;-25,388687;-49,3558189
JAÇANÃ;SÃO BRAZ;6;PATRIMONIO;-25,4145967;-49,3557517
LUIZ HOMANN;SÃO BRAZ;12;PATRIMONIO;-25,4217327;-49,3557177
ULISSES AURÉLIO VISINONI;AUGUSTA;2;VIDA;-25,4865251;-49,355607
MIGUEL NOVICKI;SÃO BRAZ;35;PATRIMONIO;-25,4125015;-49,3556067
MIGUEL NOVICKI;SÃO BRAZ;3;VIDA;-25,4125015;-49,3556067
PEDRO;CIDADE INDUSTRIAL;9;PATRIMONIO;-25,445716;-49,3555802
SÃO PEDRO;CABRAL;3;VIDA;-25,445716;-49,3555802
EDUARDO SPRADA;CIDADE INDUSTRIAL;81;PATRIMONIO;-25,4507621;-49,355397
EDUARDO SPRADA;CAMPO COMPRIDO;47;PATRIMONIO;-25,4507621;-49,355397
EDUARDO SPRADA;AUGUSTA;28;PATRIMONIO;-25,4507621;-49,355397
EDUARDO SPRADA;SANTA FELICIDADE;17;PATRIMONIO;-25,4507621;-49,355397
EDUARDO SPRADA;CIDADE INDUSTRIAL;14;VIDA;-25,4507621;-49,355397
EDUARDO SPRADA;AUGUSTA;13;VIDA;-25,4507621;-49,355397
EDUARDO SPRADA;CAMPO COMPRIDO;10;VIDA;-25,4507621;-49,355397
EDUARDO SPRADA;SANTA FELICIDADE;5;VIDA;-25,4507621;-49,355397
ANTONIO GEROSLAU FERREIRA;CIDADE INDUSTRIAL;155;PATRIMONIO;-25,4970131;-49,3552624
ANTÔNIO GEROSLAU FERREIRA;CIDADE INDUSTRIAL;37;PATRIMONIO;-25,4970131;-49,3552624
ANTONIO GEROSLAU FERREIRA;CIDADE INDUSTRIAL;5;VIDA;-25,4970131;-49,3552624
EMILIA ERICHSEN;CIDADE INDUSTRIAL;18;PATRIMONIO;-25,4538869;-49,3551151
EMÍLIA ERICHSEN;CIDADE INDUSTRIAL;7;PATRIMONIO;-25,4538869;-49,3551151
PADRE PAULO WARKOCZ;CIDADE INDUSTRIAL;7;PATRIMONIO;-25,4385361;-49,3550879
PEDRO IVO;CENTRO;218;PATRIMONIO;-25,3901979;-49,3550219
PEDRO IVO;CENTRO;100;VIDA;-25,3901979;-49,3550219
SALVADOR JOSÉ CORREIA COELHO;CIDADE INDUSTRIAL;2;VIDA;-25,452282;-49,3548866
JOÃO BUDEL;BUTIATUVINHA;12;PATRIMONIO;-25,390733;-49,3547755
JOÃO BUDEL;BUTIATUVINHA;3;VIDA;-25,390733;-49,3547755
EDMUNDO HRUSCHKA;SÃO MIGUEL;2;VIDA;-25,5067303;-49,3544751
PROFESSORA CECÍLIA IRITANI;SÃO MIGUEL;6;VIDA;-25,5049321;-49,3543286
ROBERT REDZIMSKI;CIDADE INDUSTRIAL;50;PATRIMONIO;-25,4503402;-49,3542525
ROBERT REDZIMSKI;CIDADE INDUSTRIAL;8;VIDA;-25,4503402;-49,3542525
VICTOR GRYCAJUK;SÃO MIGUEL;47;PATRIMONIO;-25,5070593;-49,3541728
VICTOR GRYCAJUK;SÃO MIGUEL;7;VIDA;-25,5070593;-49,3541728
MARIA LÚCIA LOCHER DE ATHAYDE;SÃO MIGUEL;11;PATRIMONIO;-25,4896116;-49,354087
MARIA LÚCIA LOCHER DE ATHAYDE;SÃO MIGUEL;4;VIDA;-25,4896116;-49,354087
MARIA LÚCIA LOCHER DE ATHAYDE;CIDADE INDUSTRIAL;3;VIDA;-25,4896116;-49,354087
MARIA LUCIA LOCHER DE ATHAYDE;CIDADE INDUSTRIAL;2;VIDA;-25,4896116;-49,354087
FLAVIO ERNANI BARBIZAN;SÃO MIGUEL;3;VIDA;-25,5042036;-49,3539063
LUDOVICO LUCCA;SÃO BRAZ;3;VIDA;-25,4161056;-49,3537615
LEANDRO DACHEUX DO NASCIMENTO JÚNIOR;CIDADE INDUSTRIAL;3;VIDA;-25,4583333;-49,353672
SOLDADO AGNALDO GONÇALVES;CIDADE INDUSTRIAL;4;VIDA;-25,4631815;-49,3536459
CIDADE DE CORONEL FREITAS;CIDADE INDUSTRIAL;9;PATRIMONIO;-25,4549073;-49,3536181
CIDADE DE CORONEL FREITAS;CIDADE INDUSTRIAL;2;VIDA;-25,4549073;-49,3536181
ANGELO MASSIGNAN;SÃO BRAZ;2;VIDA;-25,4144776;-49,3535148
AYRTON PRECOMA;SÃO MIGUEL;5;PATRIMONIO;-25,5031519;-49,3532967
PEDRO ALEIXO;CIDADE INDUSTRIAL;3;VIDA;-25,481361;-49,3532258
ARNAUD FERREIRA VELLOSO;CIDADE INDUSTRIAL;23;PATRIMONIO;-25,4841135;-49,353193
ARNAUD FERREIRA VELLOSO;CIDADE INDUSTRIAL;4;VIDA;-25,4841135;-49,353193
VEREADOR TOALDO TÚLIO;SÃO BRAZ;15;PATRIMONIO;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;BUTIATUVINHA;6;PATRIMONIO;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;SANTA FELICIDADE;6;PATRIMONIO;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;SANTA FELICIDADE;3;VIDA;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;SÃO BRAZ;3;VIDA;-25,4308083;-49,3531699
toaldo tulio;SANTA FELICIDADE;2;VIDA;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;ORLEANS;5;PATRIMONIO;-25,4308083;-49,3531699
TUNEIRAS DO OESTE;CIDADE INDUSTRIAL;8;PATRIMONIO;-25,4867155;-49,3530957
RAUL POMPEIA;CIDADE INDUSTRIAL;18;PATRIMONIO;-25,4851446;-49,3530951
RAUL POMPEIA;CIDADE INDUSTRIAL;11;VIDA;-25,4851446;-49,3530951
RAUL POMPEIA;AUGUSTA;9;PATRIMONIO;-25,4851446;-49,3530951
RAUL POMPEIA;AUGUSTA;7;VIDA;-25,4851446;-49,3530951
RAUL POMPEIA;CAMPO COMPRIDO;5;PATRIMONIO;-25,4851446;-49,3530951
RAUL POMPEIA;FAZENDINHA;2;VIDA;-25,4851446;-49,3530951
JOSÉ DE SOUZA PEREIRA;CIDADE INDUSTRIAL;2;VIDA;-25,462882;-49,353011
LODOVICO KAMINSKI;CIDADE INDUSTRIAL;114;PATRIMONIO;-25,4815835;-49,3527684
LODOVICO KAMINSKI;CIDADE INDUSTRIAL;32;VIDA;-25,4815835;-49,3527684
LODOVICO KAMINSKI;AUGUSTA;5;VIDA;-25,4815835;-49,3527684
LODOVICO KAMINSKI;AUGUSTA;5;PATRIMONIO;-25,4815835;-49,3527684
LODOVICO KAMINSKI;FAZENDINHA;2;VIDA;-25,4815835;-49,3527684
TRÊS MARIAS;ORLEANS;4;VIDA;-25,4244834;-49,3525711
PADRE ANTÔNIO JOAQUIM RIBEIRO;CIDADE INDUSTRIAL;8;VIDA;-25,4353251;-49,3523835
VIRGINIA DALABONA;ORLEANS;8;PATRIMONIO;-25,4297248;-49,3523186
LAURO GREIN;CIDADE INDUSTRIAL;2;VIDA;-25,481772;-49,3520248
DEPUTADO PAULO WRIGHT;CIDADE INDUSTRIAL;2;VIDA;-25,4585293;-49,3519431
FRANCISCA BERALDI PAOLINI;CAXIMBA;9;PATRIMONIO;-25,61712604;-49,3519417
DOS PALMENSES;CIDADE INDUSTRIAL;2;VIDA;-25,5129147;-49,3518959
JOÃO CÂNDIDO;SÃO FRANCISCO;17;PATRIMONIO;-25,4612038;-49,3518196
JOÃO CÂNDIDO;SÃO FRANCISCO;14;VIDA;-25,4612038;-49,3518196
JOÃO CÂNDIDO;CENTRO;3;VIDA;-25,4612038;-49,3518196
FRANCISCA BERALDE PAOLINI;CAXIMBA;16;PATRIMONIO;-25,6172574;-49,3515743
FRANCISCA BERALDE PAOLINI;CAXIMBA;8;VIDA;-25,6172574;-49,3515743
ELIAS KALIL KARAM;CIDADE INDUSTRIAL;3;VIDA;-25,4953128;-49,3515173
BR-277 - CURITIBA / PONTA GROSSA;ORLEANS;17;VIDA;-25,4292577;-49,35150842
BR-277 - CURITIBA / PONTA GROSSA;ORLEANS;7;PATRIMONIO;-25,4292577;-49,35150842
DOUTOR POLAN DUSZCZAK;CIDADE INDUSTRIAL;7;VIDA;-25,436254;-49,3513571
JOÃO KOLESKI;CIDADE INDUSTRIAL;2;VIDA;-25,4392812;-49,3513049
DURVAL LEOPOLDO LANDAL;CIDADE INDUSTRIAL;45;PATRIMONIO;-25,4874777;-49,3509548
DURVAL LEOPOLDO LANDAL;CIDADE INDUSTRIAL;6;VIDA;-25,4874777;-49,3509548
GILDO LAZZAROTTO;CIDADE INDUSTRIAL;4;VIDA;-25,4598372;-49,350368
ÂNGELO JÚLIO IANKE;CIDADE INDUSTRIAL;2;VIDA;-25,4981243;-49,3502198
PROFESSOR JOÃO FALARZ;CAMPO COMPRIDO;2;VIDA;-25,4353101;-49,350217
DO BARIGUI;CIDADE INDUSTRIAL;7;PATRIMONIO;-25,5060155;-49,3501561
JOAQUIM CHAGAS LIMA;SÃO BRAZ;2;VIDA;-25,4085126;-49,3500494
PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA;MOSSUNGUÊ;48;PATRIMONIO;-25,4405662;-49,3498134
PROF. PEDRO VIRIATO PARIGOT DE SOUZA;MOSSUNGUÊ;20;PATRIMONIO;-25,4405662;-49,3498134
PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA;MOSSUNGUÊ;11;VIDA;-25,4405662;-49,3498134
PROF. PEDRO VIRIATO PARIGOT DE SOUZA;MOSSUNGUÊ;6;VIDA;-25,4405662;-49,3498134
PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA;CAMPINA DO SIQUEIRA;5;PATRIMONIO;-25,4405662;-49,3498134
PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA;CAMPINA DO SIQUEIRA;3;VIDA;-25,4405662;-49,3498134
HILDA CADILHE DE OLIVEIRA;CIDADE INDUSTRIAL;6;VIDA;-25,487472;-49,3497979
JORGE NEY BUCHMANN;CIDADE INDUSTRIAL;2;VIDA;-25,4889143;-49,3497216
JOSÉ TISSI;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4356363;-49,3496171
JOSÉ TISSI;CIDADE INDUSTRIAL;2;VIDA;-25,4356363;-49,3496171
FORMOSA DO OESTE;CIDADE INDUSTRIAL;10;PATRIMONIO;-25,4756336;-49,3493992
PEDRO ANDRETTA;CIDADE INDUSTRIAL;20;PATRIMONIO;-25,5011166;-49,3492643
PEDRO ANDRETTA;CIDADE INDUSTRIAL;3;VIDA;-25,5011166;-49,3492643
DEPUTADO CUNHA BUENO;CIDADE INDUSTRIAL;2;VIDA;-25,4945037;-49,3482256
MARCIO JOSE ABONISKI;CIDADE INDUSTRIAL;2;VIDA;-25,4941311;-49,34806
LAURO SCHEREIBER;CIDADE INDUSTRIAL;11;PATRIMONIO;-25,50192803;-49,34774082
NICOLAU VOROBI;CIDADE INDUSTRIAL;2;VIDA;-25,4756706;-49,3475804
CLEMENTE RITZ;CIDADE INDUSTRIAL;62;PATRIMONIO;-25,4723298;-49,3475399
CLEMENTE RITZ;CIDADE INDUSTRIAL;2;VIDA;-25,4723298;-49,3475399
JOÃO ALEXANDRE KOPP;CIDADE INDUSTRIAL;19;PATRIMONIO;-25,4815938;-49,3473671
JOÃO ALEXANDRE KOPP;CIDADE INDUSTRIAL;3;VIDA;-25,4815938;-49,3473671
ANGÉLICO TOSIN;CAMPO DE SANTANA;2;VIDA;-25,5959792;-49,3473215
DAS AGUIAS;CIDADE INDUSTRIAL;2;VIDA;-25,4944938;-49,3472698
JOSÉ BATISTA DOS SANTOS;CIDADE INDUSTRIAL;10;PATRIMONIO;-25,4716113;-49,3469571
JOSÉ BATISTA DOS SANTOS;CIDADE INDUSTRIAL;3;VIDA;-25,4716113;-49,3469571
RAUL POMPÉIA;CIDADE INDUSTRIAL;17;PATRIMONIO;-25,4830916;-49,3469477
RAUL POMPÉIA;CIDADE INDUSTRIAL;15;VIDA;-25,4830916;-49,3469477
DARCI VARGAS;CIDADE INDUSTRIAL;9;PATRIMONIO;-25,4799415;-49,3465472
DARCI VARGAS;CIDADE INDUSTRIAL;5;VIDA;-25,4799415;-49,3465472
CIDADE GAÚCHA;CIDADE INDUSTRIAL;13;PATRIMONIO;-25,474129;-49,3463559
CARLOS GOMES;CENTRO;100;PATRIMONIO;-25,4857521;-49,3457258
CARLOS GOMES;CENTRO;34;VIDA;-25,4857521;-49,3457258
FIRENZE;BUTIATUVINHA;13;PATRIMONIO;-25,3934069;-49,3456971
FIRENZE;BUTIATUVINHA;2;VIDA;-25,3934069;-49,3456971
SÃO JORGE DO OESTE;CIDADE INDUSTRIAL;9;PATRIMONIO;-25,5053557;-49,345243
ETELVINA DA LUZ DE BARROS;CIDADE INDUSTRIAL;28;PATRIMONIO;-25,4552202;-49,3452308
 ETELVINA DA LUZ DE BARROS;CIDADE INDUSTRIAL;7;PATRIMONIO;-25,4552202;-49,3452308
JOÃO DEMBINSKI;CIDADE INDUSTRIAL;59;PATRIMONIO;-25,4604343;-49,3451625
JOÃO DEMBINSKI;CIDADE INDUSTRIAL;15;VIDA;-25,4604343;-49,3451625
PROFESSORA POMPILIA LOPES  DOS SANTOS;CIDADE INDUSTRIAL;2;VIDA;-25,5006784;-49,3451571
JUSCELINO KUBITSCHEK DE OLIVEIRA LD;CIDADE INDUSTRIAL;39;PATRIMONIO;-25,49015838;-49,34485481
SEBASTIÃO CIRILO LANGE;CAMPO DE SANTANA;2;VIDA;-25,5919458;-49,3447391
SÃO VALÉRIO;CIDADE INDUSTRIAL;8;PATRIMONIO;-25,4982002;-49,3446108
NELSON RIEKE;CIDADE INDUSTRIAL;2;VIDA;-25,5010802;-49,3445362
JOÃO BATISTA CASAGRANDE;BUTIATUVINHA;17;PATRIMONIO;-25,3985079;-49,3443341
ALBINO POTULSKI;SANTO INÁCIO;7;VIDA;-25,4266391;-49,344204
DIAMANTE DO NORTE;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4850196;-49,3440551
MARIA MAZUROSKI;CIDADE INDUSTRIAL;2;VIDA;-25,4828277;-49,3440264
CAPITÃO  DOMINGOS CASTELLANO;SANTO INÁCIO;5;PATRIMONIO;-25,4292177;-49,3438017
PROFESSOR ANGELO ANTONIO DALLEGRAVE;SANTO INÁCIO;21;PATRIMONIO;-25,426716;-49,3436139
PROF. ÂNGELO ANTÔNIO DALLEGRAVE;SANTO INÁCIO;15;PATRIMONIO;-25,426716;-49,3436139
GENAURO FERREIRA DE ALMEIDA;SÃO BRAZ;5;PATRIMONIO;-25,4180221;-49,3435797
GENAURO FERREIRA DE ALMEIDA;SÃO BRAZ;2;VIDA;-25,4180221;-49,3435797
FARID RAME;CIDADE INDUSTRIAL;3;VIDA;-25,503257;-49,3435651
JOSÉ CULPI;BUTIATUVINHA;5;PATRIMONIO;-25,3901559;-49,3431525
EMÍLIO TELES DE LIMA;CAMPO DE SANTANA;3;VIDA;-25,5914673;-49,3430006
EWERTON LEINIG SAPORSKI;CAMPO DE SANTANA;64;PATRIMONIO;-25,5909664;-49,3428718
 EWERTON LEINIG SAPORSKI;CAMPO DE SANTANA;16;PATRIMONIO;-25,5909664;-49,3428718
PROFESSOR FERNANDO CARNEIRO;CIDADE INDUSTRIAL;2;VIDA;-25,547817;-49,3427552
DULCIDIO TEIXEIRA DE LARA;CIDADE INDUSTRIAL;2;VIDA;-25,4696241;-49,3427446
CARLOS CHAGAS;SÃO BRAZ;5;PATRIMONIO;-25,4211199;-49,342708
QUADRA 10;TATUQUARA;22;PATRIMONIO;-25,4294355;-49,3424299
EZEQUIEL DA COSTA RIBEIRO;CIDADE INDUSTRIAL;3;VIDA;-25,4672825;-49,3423003
MUNICÍPIO DE ENEAS MARQUES;CIDADE INDUSTRIAL;2;VIDA;-25,4779896;-49,3422965
MAJOR ARIOVALDO BIANCO;CIDADE INDUSTRIAL;2;VIDA;-25,4697611;-49,3418075
do;CAJURU;2;VIDA;-25,5008854;-49,3417896
ANTONIO BOZA;SÍTIO CERCADO;2;VIDA;-25,3956394;-49,3417056
ALEXANDRE MARCOSKI;SÃO BRAZ;27;PATRIMONIO;-25,4183889;-49,3416765
ALEXANDRE MARCOSKI;SÃO BRAZ;3;VIDA;-25,4183889;-49,3416765
DOUTOR MÁRIO JORGE;CIDADE INDUSTRIAL;8;VIDA;-25,5046499;-49,3412883
DOUTOR MÁRIO JORGE;CIDADE INDUSTRIAL;7;PATRIMONIO;-25,5046499;-49,3412883
ADRIANA CERES ZAGO BUENO;TATUQUARA;28;PATRIMONIO;-25,5588526;-49,3412284
ADRIANA CERES ZAGO BUENO;TATUQUARA;10;VIDA;-25,5588526;-49,3412284
CYRO CORREIA PEREIRA;CIDADE INDUSTRIAL;2;VIDA;-25,5439867;-49,3411499
ARARANGUÁ;CIDADE INDUSTRIAL;29;PATRIMONIO;-25,4644059;-49,3410682
ARARANGUÁ;CIDADE INDUSTRIAL;6;VIDA;-25,4644059;-49,3410682
VALDEMIRO NATÁLIO BORDENOWSKI;SANTA FELICIDADE;5;PATRIMONIO;-25,38910849;-49,34105019
7, R;SÍTIO CERCADO;5;PATRIMONIO;-25,4715441;-49,3410425
RICARDO EMÍLIO MICHEL;CIDADE INDUSTRIAL;2;VIDA;-25,493575;-49,3409733
PAULINA KAVINSKI PONTAROLLA;TATUQUARA;44;PATRIMONIO;-25,5734211;-49,3409276
MARIA FORTUNATA TOSIN;CIDADE INDUSTRIAL;8;PATRIMONIO;-25,4704324;-49,3408654
PERO VAZ DE CAMINHA;TATUQUARA;36;PATRIMONIO;-25,564328;-49,3408229
PERO VAZ DE CAMINHA;TATUQUARA;11;VIDA;-25,564328;-49,3408229
 PERO VAZ DE CAMINHA;TATUQUARA;5;PATRIMONIO;-25,564328;-49,3408229
ADOLPHO BERTOLDI;CAMPO DE SANTANA;3;VIDA;-25,5872926;-49,3408179
CIDADE DE LAGUNA;CIDADE INDUSTRIAL;86;PATRIMONIO;-25,4750949;-49,3405374
 CIDADE DE LAGUNA;CIDADE INDUSTRIAL;10;PATRIMONIO;-25,4750949;-49,3405374
CIDADE DE LAGUNA;CIDADE INDUSTRIAL;2;VIDA;-25,4750949;-49,3405374
VELHA DO BARIGUI;CIDADE INDUSTRIAL;78;PATRIMONIO;-25,4846013;-49,340531
VELHA DO BARIGUI;CIDADE INDUSTRIAL;10;VIDA;-25,4846013;-49,340531
 VELHA DO BARIGUI;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4846013;-49,340531
NELSON ANTÔNIO ZAMPROGNA;TATUQUARA;2;VIDA;-25,5735211;-49,3404609
PEDRO KOGUT;CIDADE INDUSTRIAL;2;VIDA;-25,4586707;-49,340391
LADISLAU LUKA;CIDADE INDUSTRIAL;2;VIDA;-25,5455452;-49,34036
LOURDES BETEZEK;CIDADE INDUSTRIAL;2;VIDA;-25,5466947;-49,3403158
LUIZ TRAMONTIN;CIDADE INDUSTRIAL;6;VIDA;-25,4600295;-49,3402332
FANNY BERTOLDI;CAMPO DE SANTANA;62;PATRIMONIO;-25,5910072;-49,3401794
FANNY BERTOLDI;CAMPO DE SANTANA;6;VIDA;-25,5910072;-49,3401794
MARCO CAMPOS;CIDADE INDUSTRIAL;15;PATRIMONIO;-25,5297681;-49,3401528
ANTONIO ESCORSIN;SÃO BRAZ;20;PATRIMONIO;-25,414766;-49,3401428
ANTÔNIO ESCORSIN;SÃO BRAZ;13;PATRIMONIO;-25,414766;-49,3401428
ANTONIO ESCORSIN;SÃO BRAZ;2;VIDA;-25,414766;-49,3401428
JOSÉ BORGES DE MACEDO;CENTRO;3;VIDA;-25,4407653;-49,3400475
ENGENHEIRO EDUARDO AFONSO NADOLNY;CIDADE INDUSTRIAL;2;VIDA;-25,5487501;-49,339956
PROFESSORA HILDA HANKE GONÇALVES;CIDADE INDUSTRIAL;20;PATRIMONIO;-25,4746922;-49,3398253
PROFESSORA HILDA HANKE GONÇALVES;CIDADE INDUSTRIAL;6;PATRIMONIO;-25,4746922;-49,3398253
RAUL ZANON;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4783074;-49,3397445
RAUL ZANON;CIDADE INDUSTRIAL;3;VIDA;-25,4783074;-49,3397445
LUDVINA SCHUSTER PAES;CIDADE INDUSTRIAL;11;PATRIMONIO;-25,5416493;-49,3397149
PROFESSOR ALGACYR MUNHOZ MADER;CIDADE INDUSTRIAL;4;VIDA;-25,4950318;-49,3395369
JOSÉ CORREIA TRAMUJAS;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4720373;-49,3394845
JOSÉ CORREIA TRAMUJAS;CIDADE INDUSTRIAL;3;VIDA;-25,4720373;-49,3394845
MARCOS BERTOLDI;CAMPO DE SANTANA;45;PATRIMONIO;-25,5911969;-49,3394653
MARCOS BERTOLDI;CAMPO DE SANTANA;4;VIDA;-25,5911969;-49,3394653
BEATO GASPAR STANGGASSINGER;CIDADE INDUSTRIAL;6;VIDA;-25,5299238;-49,3393741
JEREMIAS EUGÊNIO FERNANDES;TATUQUARA;2;VIDA;-25,5630348;-49,3392743
SÃO SIDÔNIO APOLINÁRIO;CIDADE INDUSTRIAL;3;VIDA;-25,4832078;-49,3392371
ENETTE DUBARD;TATUQUARA;123;PATRIMONIO;-25,5664921;-49,3392181
ENETTE DUBARD;TATUQUARA;9;VIDA;-25,5664921;-49,3392181
 ENETTE DUBARD;TATUQUARA;9;PATRIMONIO;-25,5664921;-49,3392181
ANTONIO ANTONIACOMI;SANTA CÂNDIDA;44;PATRIMONIO;-25,4977857;-49,3388925
ANTÔNIO ANTONIACOMI;SANTA CÂNDIDA;9;PATRIMONIO;-25,4977857;-49,3388925
ANTONIO ANTONIACOMI;SANTA CÂNDIDA;5;VIDA;-25,4977857;-49,3388925
ANTÔNIO ANTONIACOMI;SANTA CÂNDIDA;2;VIDA;-25,4977857;-49,3388925
WALTER JOSÉ WUNDERLICH JÚNIOR;CIDADE INDUSTRIAL;2;VIDA;-25,5521806;-49,3388526
OSWALDO BAGGIO;CIDADE INDUSTRIAL;24;PATRIMONIO;-25,5449824;-49,3388271
OSWALDO BAGGIO;CIDADE INDUSTRIAL;2;VIDA;-25,5449824;-49,3388271
DA MINA DO OURO;SÃO BRAZ;6;PATRIMONIO;-25,4257434;-49,338661
DA MINA DO OURO;SANTO INÁCIO;5;PATRIMONIO;-25,4257434;-49,338661
SINFRÔNIO MESA NETO;TATUQUARA;5;VIDA;-25,5621263;-49,3385241
JEOVÁ TEIXEIRA DE LARA;TATUQUARA;6;PATRIMONIO;-25,5716248;-49,3384166
JEOVÁ TEIXEIRA DE LARA;TATUQUARA;2;VIDA;-25,5716248;-49,3384166
WALDEMAR DAROS;CIDADE INDUSTRIAL;11;PATRIMONIO;-25,5296144;-49,3383829
MINISTRO MARCOS FREIRE;SÃO BRAZ;105;PATRIMONIO;-25,4125736;-49,3383767
