Nome;Latitude;Longitude;Tipo;Categoria;Coordenadas;
Capela Santa Maria;-25,4293915;-49,26531393;Casa de espetáculos;Privado;lat=-25,4293914988019&lon=-49,2653139345894;Centro
Paiol;-25,4479469;-49,25753677;Teatro;Privado;lat=-25,4479469043771&lon=-49,2575367732213;Prado Velho
Fernanda Montenegro;-25,43834656;-49,28380136;Teatro;Privado;lat=-25,4383465590205&lon=-49,2838013578855;Batel
Regina Vogue;-25,43775607;-49,26689031;Teatro;Privado;lat=-25,4377560744435&lon=-49,2668903081706;Centro
Puc;-25,45135768;-49,25202781;Teatro;Privado;lat=-25,4513576788708&lon=-49,252027813838;Prado Velho
Pedreira Paulo Leminski;-25,38417207;-49,27750449;Casa de espetáculos;Privado;lat=-25,3841720720168&lon=-49,2775044885681;Pilarzinho
AABB;-25,42811969;-49,23182647;Clube;Privado;lat=-25,4281196891037&lon=-49,2318264732265;Tarumã
ASPP;-25,43952402;-49,27337483;Clube;Privado;lat=-25,4395240233459&lon=-49,2733748340765;Centro
Circulo Militar;-25,42713297;-49,26535539;Clube;Privado;lat=-25,4271329733076&lon=-49,2653553863738;Centro
Curitibano;-25,45127536;-49,28637663;Clube;Privado;lat=-25,4512753590034&lon=-49,2863766290501;Água Verde
Dom Pedro;-25,45208333;-49,27194896;Clube;Privado;lat=-25,4520833339752&lon=-49,2719489578853;Água Verde
Duque de Caxias;-25,39690783;-49,23776835;Clube;Privado;lat=-25,3969078316439&lon=-49,2377683541936;Bacacheri
Merces;-25,40740568;-49,33102356;Clube;Privado;lat=-25,4074056775446&lon=-49,3310235560398;Santa Felicidade
Rio Branco;-25,38054336;-49,23636913;Clube;Privado;lat=-25,3805433570062&lon=-49,2363691253589;Boa Vista
Urca;-25,40494364;-49,26711364;Clube;Privado;lat=-25,4049436405001&lon=-49,2671136443917;Ahú
Três Marias;-25,42203239;-49,35506752;Clube;Privado;lat=-25,422032393277&lon=-49,3550675174025;São Braz
Graciosa Country Club;-25,40767302;-49,24840777;Clube;Privado;lat=-25,4076730245741&lon=-49,2484077667449;Cabral
Sociedade Água Verde;-25,4488056;-49,28730387;Clube;Privado;lat=-25,4488055984821&lon=-49,2873038732261;Água Verde
Sociedade Morgenau;-25,43118682;-49,24828576;Clube;Privado;lat=-25,4311868223172&lon=-49,2482857597321;Cristo Rei
Associação Nikkei;-25,43467175;-49,25381454;Clube;Privado;lat=-25,4346717548527&lon=-49,2538145424857;Cristo Rei
Sociedade Thalia;-25,43602094;-49,27915102;Clube;Privado;lat=-25,4360209356284&lon=-49,2791510200815;Centro
Paraná Clube;-25,46596301;-49,278622;Clube;Privado;lat=-25,4659630098218&lon=-49,2786219962425;Guaíra
Thalia Campo;-25,4204339;-49,21566857;Clube;Privado;lat=-25,4204338980164&lon=-49,2156685692614;Tarumã
Bosque Doutor Martin Lutero;-25,39771477;-49,24924657;Bosque;Público;lat=-25,3977147706702&lon=-49,2492465715205;Boa Vista
Bosque João Paulo II;-25,4090314;-49,26949807;Bosque;Público;lat=-25,4090313964506&lon=-49,2694980684078;Centro Cívico
Bosque do Capão da Imbuia;-25,43627793;-49,21958939;Bosque;Público;lat=-25,4362779255445&lon=-49,2195893850144;Capão da Imbuia
Bosque Gutierrez;-25,41215759;-49,2885097;Bosque;Público;lat=-25,4121575890774&lon=-49,2885096960867;Vista Alegre
Bosque Reinhard Maack;-25,4892885;-49,26058239;Bosque;Público;lat=-25,4892884995169&lon=-49,2605823850135;Hauer
Bosque do Pilarzinho;-25,39106874;-49,27812256;Bosque;Público;lat=-25,3910687392759&lon=-49,2781225574476;Pilarzinho
Unilivre;-25,39710269;-49,28272851;Bosque;Público;lat=-25,3971026874009&lon=-49,282728510738;Pilarzinho
Bosque dos 300 anos;-25,54511039;-49,26969517;Bosque;Público;lat=-25,5451103851404&lon=-49,2696951678271;Sítio Cercado
Bosque de Portugal;-25,41557196;-49,23335935;Bosque;Público;lat=-25,4155719649344&lon=-49,23335934891;Jardim Social
Bosque da Fazendinha;-25,47483982;-49,32300689;Bosque;Público;lat=-25,4748398199542&lon=-49,3230068862809;Fazendinha
Bosque do Alemão;-25,4046707;-49,28784778;Bosque;Público;lat=-25,4046707024665&lon=-49,2878477813248;Vista Alegre
Bosque Italiano;-25,40732472;-49,3341972;Bosque;Público;lat=-25,4073247184957&lon=-49,334197204624;Santa Felicidade
Bosque do Trabalhador;-25,50900126;-49,31534984;Bosque;Público;lat=-25,5090012559985&lon=-49,3153498384787;Cidade Industrial de Curitiba
Bosque São Nicolau;-25,49665327;-49,34803181;Bosque;Público;lat=-25,496653269505&lon=-49,3480318050239;Cidade Industrial de Curitiba
Bosque Irmã Clementina;-25,41174022;-49,21792176;Bosque;Público;lat=-25,4117402206291&lon=-49,2179217642422;Bairro Alto
Bosque dos Mundiais;-25,48106817;-49,30268664;Bosque;Público;lat=-25,481068165508&lon=-49,3026866433539;Portão
Lago Azul;-25,57426245;-49,26832966;Bosque;Público;lat=-25,5742624489253&lon=-49,2683296603993;Ganchinho
Passeio Público;-25,42540562;-49,26731721;Parque;Público;lat=-25,4254056218878&lon=-49,2673172138498;Centro
Barigui;-25,42455617;-49,30655161;Parque;Público;lat=-25,4245561672273&lon=-49,3065516114265;Bigorrilho
Barreirinha;-25,36064258;-49,257571;Parque;Público;lat=-25,360642582345&lon=-49,2575709993406;Cachoeira
São Lourenço;-25,38306604;-49,26688489;Parque;Público;lat=-25,383066038353&lon=-49,2668848868608;São Lourenço
Náutico;-25,52380508;-49,22308439;Parque;Público;lat=-25,5238050799382&lon=-49,2230843905484;Boqueirão
General Ibere de Mattos;-25,38855702;-49,23167285;Parque;Público;lat=-25,3885570197311&lon=-49,2316728456869;Bacacheri
Pedreiras;-25,38420908;-49,27540549;Parque;Público;lat=-25,3842090842835&lon=-49,2754054948201;Pilarzinho
Jardim Botânico;-25,44230459;-49,23620908;Parque;Público;lat=-25,4423045934561&lon=-49,2362090785606;Bairro Jardim Botânico
Nascente do Belém;-25,35196898;-49,26605755;Parque;Público;lat=-25,3519689781364&lon=-49,2660575500674;Barreirinha
