NOME;LOGRADOURO;BAIRRO;TIPO;LATITUDE;LONGITUDE
SAO CARLOS, C M E I;RUA DR PLINIO GONCALVES MARQUES 150;PINHEIRINHO;PÚBLICA;-25,5376321;-49,3006958
LALA SCHNEIDER, C M E I;R DR JOSE DE ALMEIDA PIMPAO 411;SITIO CERCADO;PÚBLICA;-25,5376535;-49,2540005
COLOMBO, E M-EI EF;RUA IZAAC FERREIRA DA CRUZ 2591;SITIO CERCADO;PÚBLICA;-25,5377979;-49,277696
VILA VITORIA, C M E I;RUA CARLOS ROBERTO FERREIRA 160;SITIO CERCADO;PÚBLICA;-25,5400203;-49,2697594
LULU, E M DONA-EI EF;RUA MILTON MIRAMIR VISINONI 45;SITIO CERCADO;PÚBLICA;-25,5402618;-49,2515016
JARDIM PARANAENSE, C M E I;RUA PEDRO NABOSNE 78;ALTO BOQUEIRAO;PÚBLICA;-25,5408523;-49,2409751
ARNALDO AGENOR BERTONE, C M E I;R FRANCISCO KOCHINSKI 680;SITIO CERCADO;PÚBLICA;-25,5409296;-49,2535225
SAO JOAO DEL REY, C M E I;RUA CELESTE TORTATO GABARDO 2400;SITIO CERCADO;PÚBLICA;-25,5411567;-49,2709934
GUIDO ARZUA, C E PROF-EF M;RUA MANDIRITUBA 2100;SITIO CERCADO;PÚBLICA;-25,5414305;-49,2743368
VITORIA REGIA, C M E I;RUA LUDVINA SCHUSTER PAES 290;CIC;PÚBLICA;-25,5416493;-49,3397149
ARNALDO CARNASCIALI, C M E I DR;R SAO JOSE DOS PINHAIS 900;SITIO CERCADO;PÚBLICA;-25,541768;-49,2650421
BENEDICTO J CORDEIRO, C E-EF M N PROFIS;RUA EURICO ZYKIEVITZ 143;SITIO CERCADO;PÚBLICA;-25,54243178;-49,27267129
B NOVO CAIC-GUILHERME L B SOBR,E M-EF;RUA PASTOR WALDOMIRO BILESKI 71;SITIO CERCADO;PÚBLICA;-25,5424446;-49,26135402
REGINA NARDINO PEREIRA, C M A E E PROFA;RUA AARAO LAMENHA DE SIQUEIRA 380;SITIO CERCADO;PÚBLICA;-25,5424652;-49,2604924
SANTA IZABEL, C M E I;R AARAO LAMENHA DE SIQUEIRA 380;SITIO CERCADO;PÚBLICA;-25,5424652;-49,2604924
MORADIAS OLINDA, C M E I;RUA APUCARANA 1065;SITIO CERCADO;PÚBLICA;-25,5426448;-49,2840132
CLARICE ROCHA DA ROSA, C M E I PROFA;RUA ALMIRANTE DONADELLO 242;ALTO BOQUEIRAO;PÚBLICA;-25,5435556;-49,244329
TEOBALDO L KLETEMBERG, C E PR-EF M;RUA MARIO GASPARIN 950;SITIO CERCADO;PÚBLICA;-25,5439061;-49,2524289
MARLI QUEIROZ AZEVEDO, CE PROFA - EFM;RUA CYRO CORREIA PEREIRA 3506;CIC;PÚBLICA;-25,5439867;-49,3411499
RIO NEGRO, E M-EI EF;RUA CELESTE TORTATO GABARDO 1090;SITIO CERCADO;PÚBLICA;-25,544066;-49,2810614
MIRACY R ARAUJO, E M PROFA-EI EF;RUA JOSE BASSA 1175;SITIO CERCADO;PÚBLICA;-25,5441918;-49,25718522
RIO NEGRO, C M E I;R MADRE EMILIA RIQUELME 871;SITIO CERCADO;PÚBLICA;-25,5442128;-49,2771041
JOSE CAVALLIN, E M PROF CEI-EI EF;RUA CALIFORNIA 954;SITIO CERCADO;PÚBLICA;-25,5449643;-49,2759085
ELIANA DA COSTA MARQUES, C M E I PROFA;RUA ANTONIO SCHWARTZ 23;SITIO CERCADO;PÚBLICA;-25,5449965;-49,25226
FLAVIO F DA LUZ, C E-EF M;RUA JOAO CISLINSKI 0;SITIO CERCADO;PÚBLICA;-25,54499662;-49,27127964
ALVARO BORGES, E M-EI EF;RUA OSWALDO BAGGIO 300;CIC;PÚBLICA;-25,54504875;-49,33976667
RIO NEGRO II, C M E I;RUA CELESTE TORTATO GABARDO 412;SITIO CERCADO;PÚBLICA;-25,5456747;-49,28993765
PAULO FREIRE, E M-EI EF;RUA OLIVIO DOMINGOS LEONARDI 162;SITIO CERCADO;PÚBLICA;-25,5468693;-49,2678717
BAIRRO NOVO, C M E I;R NOVA AURORA 1041;SITIO CERCADO;PÚBLICA;-25,5475197;-49,268339
ROSY TERESINHA BIALLY, C M E I;R MANDIRITUBA 1820;SITIO CERCADO;PÚBLICA;-25,5486149;-49,2703094
REJANE M S SACHETTE, E M PROFA-EI EF;RUA NOVA AURORA 717;SITIO CERCADO;PÚBLICA;-25,5490236;-49,2718437
TIA CHIQUITA, C M E I;RUA DES CARLOS PINHEIRO GUIMARAES 25;SITIO CERCADO;PÚBLICA;-25,550436;-49,2606557
ANTONIO PIETRUZA, E M C E I PROF - EI EF;RUA JOAO AMADEU PEDRO BOM 200;TATUQUARA;PÚBLICA;-25,5509214;-49,2945702
PAULO ROGERIO G ESMANHOTO, E M-EI EF;RUA PEROLA DO OESTE 285;SITIO CERCADO;PÚBLICA;-25,5523615;-49,2757437
IODEIA FELICIO, C M E I PROFA;R NOVA CANTU 145;SITIO CERCADO;PÚBLICA;-25,5527397;-49,2747831
NATHALIA DE CONTO COSTA, E M PROFA-EI EF;RUA EDUARDO PINTO DA ROCHA 6300;UMBARA;PÚBLICA;-25,5528589;-49,250452
CARLOS R A DOS SANTOS, C M E I PROFESSOR DR;R CORONEL GUILHERME THEODORO BUEST 610;UMBARA;PÚBLICA;-25,5531608;-49,2905208
JOSE ALENCAR C M E I;R GUACUI 5757;GANCHINHO;PÚBLICA;-25,5538039;-49,248655
SONHO DE CRIANCA, C M E I;RUA REINALDO DE CARVALHO BOLA 129;GANCHINHO;PÚBLICA;-25,5541389;-49,2472931
PALMEIRAS, C M E I;RUA JOAO BATISTA BURBELLO 92;TATUQUARA;PÚBLICA;-25,5541999;-49,2946766
JURIL DE P E S CARNASCIALI, C M E I JORN;RUA PAPA LEAO XIII 175;CAMPO DE SANTANA;PÚBLICA;-25,55433006;-49,29528927
VILA OSTERNACK, C M E I;RUA JUNDIAI DO SUL 393;SITIO CERCADO;PÚBLICA;-25,5543685;-49,2535074
CARLOS D DE ANDRADE, E M C E I - EI EF;RUA JANDAIA DO SUL 50;SITIO CERCADO;PÚBLICA;-25,554906;-49,253078
BAIRRO NOVO IV, C M E I;RUA DR MANOEL ABILHOA 654;UMBARA;PÚBLICA;-25,5556003;-49,2836496
HERACLITO F S PINTO, E M-EI EF;RUA LUCIO DE OLIVEIRA LARA 75;SITIO CERCADO;PÚBLICA;-25,5557626;-49,2577274
IARA BERGMANN, C E PROFA-EF M;RUA REINALDO DE CARVALHO BOLA 101;GANCHINHO;PÚBLICA;-25,5561726;-49,2495988
