LATITUDE;LONGITUDE;QUANTIDADE
-25,3849287;-49,2316495;46
-25,3945544;-49,2316865;21
-25,3847176;-49,231731;130
-25,36097121;-49,2317468;58
-25,4436951;-49,2321347;17
-25,5232708;-49,2323258;22
-25,3775523;-49,2323862;19
-25,4921207;-49,2324195;125
-25,4388001;-49,232453;24
-25,3813371;-49,2328878;19
-25,440386;-49,2329225;13
-25,5209119;-49,2331554;15
-25,46049381;-49,23324119;96
-25,44393347;-49,23378731;21
-25,43463243;-49,2343023;19
-25,4998761;-49,2343498;66
-25,3963956;-49,2344236;90
-25,4774317;-49,2345333;17
-25,5154321;-49,2347341;13
-25,441647;-49,2348292;24
-25,4380997;-49,2349805;22
-25,4730691;-49,2350273;45
-25,4980314;-49,2352422;67
-25,534252;-49,2354424;16
-25,4362232;-49,2354556;56
-25,398104;-49,235538;28
-25,430883;-49,2362821;22
-25,4373039;-49,2363084;28
-25,4812175;-49,2363976;33
-25,500775;-49,236573;430
-25,5172497;-49,2366963;62
-25,5030639;-49,2367563;166
-25,5280031;-49,2369303;278
-25,5032299;-49,2371718;259
-25,4635502;-49,2375122;39
-25,4720254;-49,2376762;42
-25,421424;-49,23768;13
-25,4084472;-49,2376822;84
-25,4375711;-49,2378354;20
-25,3941885;-49,2383171;16
-25,5164718;-49,2384734;53
-25,4883445;-49,238514;244
-25,5104032;-49,2386133;21
-25,5015234;-49,2388357;136
-25,4906783;-49,2388386;47
-25,4355902;-49,2388591;23
-25,3736846;-49,23917;17
-25,517271;-49,2393175;197
-25,3983397;-49,2393764;23
-25,4865356;-49,2394062;37
-25,4732463;-49,2396632;13
-25,4100042;-49,2398751;13
-25,3928389;-49,2400357;31
-25,5275945;-49,2400875;96
-25,3989674;-49,2403227;19
-25,495751;-49,2403557;233
-25,5366726;-49,2407001;27
-25,4347313;-49,2407771;83
-25,4124122;-49,2408332;87
-25,4892799;-49,2408636;208
-25,3938826;-49,2408903;24
-25,3855462;-49,2409434;19
-25,4593697;-49,2409561;13
-25,3938264;-49,2409654;35
-25,5250506;-49,2409671;158
-25,4064694;-49,2412712;121
-25,3995825;-49,2412761;15
-25,3760855;-49,2414469;16
-25,4851588;-49,2414671;273
-25,4874805;-49,2417653;17
-25,3865015;-49,2418068;69
-25,511821;-49,2421736;14
-25,3939204;-49,2423172;37
-25,4002969;-49,242326;17
-25,5300502;-49,2426278;14
-25,42320084;-49,24320862;32
-25,4639005;-49,2432293;14
-25,5122848;-49,2433384;15
-25,3919741;-49,2434022;24
-25,3915056;-49,2440416;14
-25,4014359;-49,244081;27
-25,374371;-49,2442468;26
-25,4618504;-49,2442672;21
-25,5230387;-49,24445;55
-25,4197565;-49,2444925;36
-25,4729592;-49,2445174;45
-25,4620449;-49,2445575;25
-25,4700688;-49,2446568;13
-25,3808077;-49,2450732;13
-25,4411291;-49,2451017;13
-25,4230825;-49,2451526;112
-25,4156862;-49,2452543;47
-25,3822573;-49,2452906;13
-25,4379351;-49,2453703;150
-25,3786869;-49,2455398;16
-25,4321797;-49,2462234;18
-25,4707359;-49,2463245;13
-25,4827378;-49,2463691;57
-25,4150148;-49,2463929;384
-25,3832506;-49,2464411;44
-25,5345839;-49,2466955;18
-25,4497347;-49,2468914;16
-25,4794398;-49,2470104;91
-25,4648193;-49,2470621;23
-25,3857196;-49,2471906;207
-25,4981224;-49,2472235;25
-25,5325725;-49,247367;13
-25,4054306;-49,2474248;77
-25,4278702;-49,2477323;743
-25,4161597;-49,2478185;62
-25,4301782;-49,2479489;15
-25,5391841;-49,2480773;13
-25,4038103;-49,2486381;17
-25,4837304;-49,2488183;83
-25,5296769;-49,2488227;57
-25,3898212;-49,2492085;18
-25,5561726;-49,2495988;21
-25,5507582;-49,2497302;19
-25,4020614;-49,2498516;20
-25,5314676;-49,249913;23
-25,511766;-49,2499367;20
-25,4842091;-49,2500019;60
-25,5639643;-49,2500073;21
-25,392161;-49,2500284;14
-25,4974608;-49,2501654;70
-25,5062451;-49,2501859;15
-25,3940529;-49,2502335;19
-25,4185052;-49,2504373;17
-25,5528589;-49,250452;247
-25,5655607;-49,2505878;13
-25,5450661;-49,250847;20
-25,5021441;-49,2508718;53
-25,3914266;-49,2509157;16
-25,4072436;-49,2510929;31
-25,4356181;-49,2511039;16
-25,3933783;-49,2511614;18
-25,4846846;-49,2511775;102
-25,4379197;-49,2512464;26
-25,3869625;-49,251453;16
-25,5136865;-49,2514539;96
-25,4870109;-49,2514572;13
-25,3983324;-49,2514883;34
-25,4434078;-49,2518485;70
-25,5226994;-49,251875;18
-25,3876174;-49,2520965;21
-25,5210874;-49,2522092;18
-25,4240571;-49,2522134;63
-25,4047809;-49,2525282;130
-25,4505378;-49,2529486;70
-25,4073893;-49,2530207;18
-25,5193372;-49,2531518;20
-25,4805863;-49,253182;47
-25,544975;-49,2535507;30
-25,4766651;-49,2536893;39
-25,3849362;-49,2541195;15
-25,449045;-49,2542107;69
-25,376997;-49,2542535;14
-25,5351677;-49,2542835;18
-25,4117598;-49,2545871;58
-25,4335076;-49,2546442;14
-25,47005004;-49,25498749;59
-25,42663;-49,2550913;33
-25,4129088;-49,2550947;17
-25,452348;-49,2551649;96
-25,4094572;-49,2551916;298
-25,4281894;-49,255274;34
-25,476043;-49,2554198;37
-25,41023685;-49,25544993;16
-25,4788074;-49,2555083;430
-25,386446;-49,255521;22
-25,4485067;-49,2555616;18
-25,4306946;-49,2555683;58
-25,5404145;-49,2556538;25
-25,5417318;-49,2558316;138
-25,4213802;-49,2560222;64
-25,5125438;-49,2562984;19
-25,4253633;-49,2563975;63
-25,4503803;-49,2564987;34
-25,384232;-49,2565852;19
-25,5432168;-49,2566174;40
-25,4337102;-49,2566797;73
-25,431551;-49,2567544;38
-25,4672599;-49,2571326;14
-25,5320968;-49,257285;21
-25,3904087;-49,2573694;21
-25,4118871;-49,2574181;61
-25,3905456;-49,2574932;92
-25,3535844;-49,2577308;36
-25,4598573;-49,2577589;1778
-25,4797716;-49,2578423;82
-25,4911268;-49,2579355;44
-25,5365306;-49,2580924;13
-25,3828434;-49,2583207;32
-25,4758312;-49,2583381;94
-25,4173937;-49,2583488;243
-25,4127832;-49,2583788;40
-25,4652827;-49,2584363;13
-25,4414617;-49,2584907;83
-25,4274542;-49,2586979;45
-25,4965588;-49,2588075;32
-25,4597885;-49,2589441;29
-25,49378;-49,2590796;53
-25,4857568;-49,2591534;125
-25,3902768;-49,2593549;17
-25,5082873;-49,2594233;15
-25,5374363;-49,2594448;14
-25,5064231;-49,2594684;25
-25,52542276;-49,25950849;72
-25,5306629;-49,2595191;13
-25,4419389;-49,2595354;34
-25,4075062;-49,2595902;25
-25,492515;-49,259684;39
-25,5494387;-49,2596843;74
-25,4134312;-49,2597168;42
-25,4717904;-49,2597188;94
-25,447286;-49,2597604;27
-25,4022672;-49,2597798;36
-25,5075487;-49,2597842;13
-25,4647252;-49,2597906;17
-25,4659701;-49,2601009;345
-25,3861549;-49,26017;30
-25,4333811;-49,2602037;69
-25,4745439;-49,2603001;62
-25,4775652;-49,2603114;54
-25,43527;-49,2603221;82
-25,4068488;-49,2605662;39
-25,5052053;-49,2609885;27
-25,4641413;-49,261043;14
-25,5331335;-49,2611624;27
-25,4503192;-49,2611793;44
-25,5215442;-49,261205;33
-25,4664348;-49,2613138;176
-25,5203434;-49,2613497;137
-25,5362528;-49,2613776;20
-25,4171061;-49,2614678;31
-25,4867137;-49,261506;36
-25,3996856;-49,2615591;23
-25,4281438;-49,2618004;105
-25,45858962;-49,26186993;33
-25,4320125;-49,2619334;71
-25,4182065;-49,2621976;59
-25,4035357;-49,2624537;17
-25,4308119;-49,2625375;50
-25,4266557;-49,2625699;48
-25,4240364;-49,2626657;68
-25,3713975;-49,2627241;15
-25,5465064;-49,2627902;18
-25,449638;-49,262827;111
-25,4297671;-49,2629663;73
-25,43174978;-49,26299643;35
-25,5460996;-49,2631334;171
-25,5015252;-49,263149;14
-25,431069;-49,2632221;120
-25,4336229;-49,2634212;319
-25,4969757;-49,2634831;15
-25,5525172;-49,2635801;41
-25,3568329;-49,2636086;682
-25,3912784;-49,2639775;13
-25,4076902;-49,2642322;111
-25,3889306;-49,2642993;57
-25,4012357;-49,2644907;16
-25,4345625;-49,2645172;326
-25,417808;-49,2645208;13
-25,4331229;-49,2645255;170
-25,5503057;-49,2645864;15
-25,36541421;-49,26460776;15
-25,5452058;-49,2648024;153
-25,4267617;-49,2648276;41
-25,3669266;-49,2648781;14
-25,5320249;-49,2649029;44
-25,5453413;-49,2649329;71
-25,43248694;-49,26494322;21
-25,4389121;-49,2651378;77
-25,5128172;-49,2652183;25
-25,5504385;-49,2653207;22
-25,512056;-49,2654152;28
-25,5294544;-49,2654745;13
-25,5400519;-49,2656235;14
-25,5285503;-49,2658523;16
-25,5454217;-49,2660533;19
-25,57868766;-49,2660708;46
-25,4093016;-49,2661648;15
-25,43376171;-49,2662125;31
-25,48415217;-49,26623131;104
-25,4427926;-49,2662569;259
-25,496154;-49,2662621;18
-25,5190754;-49,2663011;25
-25,5183787;-49,266475;20
-25,4358906;-49,2665544;147
-25,5176802;-49,2666848;36
-25,5540379;-49,2667723;63
-25,428444;-49,2669541;64
-25,5323406;-49,2671396;23
-25,4199701;-49,2673914;19
-25,4415674;-49,2675043;320
-25,56235082;-49,26751743;32
-25,5109444;-49,2675507;15
-25,4759553;-49,2675851;17
-25,5459868;-49,2678963;15
-25,4482678;-49,2679522;107
-25,4573329;-49,2680062;23
-25,3826546;-49,2680084;332
-25,4810745;-49,2682505;17
-25,4424389;-49,2683445;506
-25,5348349;-49,26836;38
-25,4761967;-49,2684666;29
-25,5463474;-49,2685492;16
-25,4924916;-49,2685712;17
-25,480776;-49,268604;186
-25,4240042;-49,2686688;258
-25,4264091;-49,2686733;55
-25,4349107;-49,2687402;41
-25,4252903;-49,2688098;80
-25,4203933;-49,2691156;114
-25,4245001;-49,2691487;232
-25,463988;-49,2692299;15
-25,4204893;-49,2692411;570
-25,4070936;-49,2695501;13
-25,3700186;-49,2696917;61
-25,4215813;-49,269765;26
-25,4665838;-49,2697765;14
-25,5459268;-49,2700416;20
-25,4327407;-49,2700594;77
-25,42904642;-49,27007466;36
-25,4306558;-49,2702249;718
-25,42946743;-49,27023736;17
-25,4808233;-49,2703196;34
-25,42514;-49,2703241;119
-25,42960247;-49,27041839;48
-25,4286603;-49,2705845;50
-25,5472719;-49,2709916;46
-25,4280112;-49,2710255;396
-25,5368077;-49,2711251;21
-25,42967122;-49,27130738;80
-25,463028;-49,2714733;18
-25,5241917;-49,2716374;14
-25,4965626;-49,2716978;737
-25,5087494;-49,2717147;35
-25,5182646;-49,2717151;14
-25,521903;-49,2718229;141
-25,42663585;-49,27186275;133
-25,5136079;-49,2719825;148
-25,42747415;-49,27206142;36
-25,4239647;-49,2720819;50
-25,5279052;-49,2724496;17
-25,5034079;-49,272523;35
-25,43261642;-49,27254166;37
-25,4047629;-49,2725533;16
-25,4382835;-49,272636;267
-25,5120623;-49,27269874;21
-25,42831703;-49,2727099;25
-25,46716;-49,2727781;51
-25,4239476;-49,2728198;26
-25,4310945;-49,2729002;289
-25,5455252;-49,2730163;13
-25,3692239;-49,2731881;38
-25,43234897;-49,2732851;58
-25,5034739;-49,2734341;41
-25,3653284;-49,2734711;15
-25,4504599;-49,2736325;22
-25,4271523;-49,27371295;13
-25,43173377;-49,27383644;13
-25,43626961;-49,27385713;133
-25,4613389;-49,2738785;13
-25,5195884;-49,273917;19
-25,5008921;-49,2740449;15
-25,4236189;-49,2742333;65
-25,4321506;-49,2742701;122
-25,4672037;-49,2742933;63
-25,5029416;-49,2743012;18
-25,5414305;-49,2743368;51
-25,4301482;-49,2745115;130
-25,4343187;-49,2745117;103
-25,4880815;-49,2745356;19
-25,4215443;-49,2745574;119
-25,4559577;-49,2746693;26
-25,4106107;-49,2746914;17
