NOME;LATITUDE;LONGITUDE;TIPO;CATEGORIA;BAIRRO
Bosque do Alemão;-25,4046707;-49,28784778;Bosque;Público;Vista Alegre
Bosque Italiano;-25,40732472;-49,3341972;Bosque;Público;Santa Felicidade
Bosque do Trabalhador;-25,50900126;-49,31534984;Bosque;Público;Cidade Industrial de Curitiba
Bosque São Nicolau;-25,49665327;-49,34803181;Bosque;Público;Cidade Industrial de Curitiba
Bosque Irmã Clementina;-25,41174022;-49,21792176;Bosque;Público;Bairro Alto
Bosque dos Mundiais;-25,48106817;-49,30268664;Bosque;Público;Portão
Lago Azul;-25,57426245;-49,26832966;Bosque;Público;Ganchinho
Passeio Público;-25,42540562;-49,26731721;Parque;Público;Centro
Barigui;-25,42455617;-49,30655161;Parque;Público;Bigorrilho
Barreirinha;-25,36064258;-49,257571;Parque;Público;Cachoeira
São Lourenço;-25,38306604;-49,26688489;Parque;Público;São Lourenço
Náutico;-25,52380508;-49,22308439;Parque;Público;Boqueirão
General Ibere de Mattos;-25,38855702;-49,23167285;Parque;Público;Bacacheri
Pedreiras;-25,38420908;-49,27540549;Parque;Público;Pilarzinho
Jardim Botânico;-25,44230459;-49,23620908;Parque;Público;Bairro Jardim Botânico
Nascente do Belém;-25,35196898;-49,26605755;Parque;Público;Barreirinha
