ENDERECO;BAIRRO;QUANTIDADE;TIPO
AV. DAS INDÚSTRIAS;CIDADE INDUSTRIAL;28;COMERCIO
AV. DESEMBARGADOR HUGO SIMAS;BOM RETIRO;70;COMERCIO
AV. DESEMBARGADOR HUGO SIMAS;PILARZINHO;23;COMERCIO
AV. DESEMBARGADOR HUGO SIMAS;VISTA ALEGRE;46;COMERCIO
AV. DO BATEL;BATEL;306;COMERCIO
AV. DOS ESTADOS;PORTÃO;15;COMERCIO
AV. DOS ESTADOS;ÁGUA VERDE;62;COMERCIO
AV. DOUTOR EUGENIO BERTOLLI;LAMENHA PEQUENA;17;COMERCIO
AV. FLORIANOPOLIS;CAJURU;48;COMERCIO
AV. FREDERICO LAMBERTUCCI;FAZENDINHA;103;COMERCIO
AV. FREDOLIN WOLF;PILARZINHO;29;COMERCIO
AV. FREDOLIN WOLF;SANTA FELICIDADE;24;COMERCIO
AV. HENRY FORD;FANNY;13;COMERCIO
AV. IGUAÇÚ;REBOUÇAS;67;COMERCIO
AV. IGUAÇÚ;SEMINÁRIO;25;COMERCIO
AV. IGUAÇÚ;VILA IZABEL;25;COMERCIO
AV. IGUAÇÚ;ÁGUA VERDE;203;COMERCIO
AV. JAIME REIS;SÃO FRANCISCO;38;COMERCIO
AV. JORNALISTA ADERBAL G STRESSER;CAJURU;13;COMERCIO
AV. JOSÉ GULIN;BACACHERI;17;COMERCIO
AV. JOÃO GUALBERTO;ALTO DA GLÓRIA;84;COMERCIO
AV. JOÃO GUALBERTO;JUVEVÊ;174;COMERCIO
AV. JUSCELINO KUBITSCHEK DE OLIVEIRA;CIDADE INDUSTRIAL;205;COMERCIO
AV. LUIZ XAVIER;CENTRO;122;COMERCIO
AV. MANOEL RIBAS;***;36;COMERCIO
AV. MANOEL RIBAS;BUTIATUVINHA;156;COMERCIO
AV. MANOEL RIBAS;CASCATINHA;78;COMERCIO
AV. MANOEL RIBAS;MERCÊS;202;COMERCIO
AV. MANOEL RIBAS;SANTA FELICIDADE;337;COMERCIO
AV. MANOEL RIBAS;SÃO FRANCISCO;28;COMERCIO
AV. MANOEL RIBAS;VISTA ALEGRE;43;COMERCIO
AV. MARECHAL FLORIANO PEIXOTO;BOQUEIRÃO;521;COMERCIO
AV. MARECHAL FLORIANO PEIXOTO;CENTRO;256;COMERCIO
AV. MARECHAL FLORIANO PEIXOTO;HAUER;746;COMERCIO
AV. MARECHAL FLORIANO PEIXOTO;PAROLIN;69;COMERCIO
AV. MARECHAL FLORIANO PEIXOTO;PRADO VELHO;86;COMERCIO
AV. MARECHAL FLORIANO PEIXOTO;REBOUÇAS;100;COMERCIO
AV. MARECHAL HUMBERTO DE ALENCAR C BRANCO;CRISTO REI;21;COMERCIO
AV. MARECHAL HUMBERTO DE ALENCAR C BRANCO;TARUMÃ;20;COMERCIO
AV. MARECHAL MASCARENHAS DE MORAES;ATUBA;68;COMERCIO
AV. MONTEIRO TOURINHO;ATUBA;23;COMERCIO
AV. MONTEIRO TOURINHO;BACACHERI;17;COMERCIO
AV. MONTEIRO TOURINHO;TINGUI;56;COMERCIO
AV. MUNHOZ DA ROCHA;CABRAL;58;COMERCIO
AV. NAPOLEÃO MANOSSO;BUTIATUVINHA;19;COMERCIO
AV. NOSSA SENHORA APARECIDA;SEMINÁRIO;178;COMERCIO
AV. NOSSA SENHORA DA LUZ;ALTO DA RUA XV;13;COMERCIO
AV. NOSSA SENHORA DA LUZ;BACACHERI;49;COMERCIO
AV. NOSSA SENHORA DA LUZ;JARDIM SOCIAL;25;COMERCIO
AV. NOSSA SENHORA DA PAZ;BOQUEIRÃO;18;COMERCIO
AV. NOSSA SENHORA DA PENHA;CRISTO REI;22;COMERCIO
AV. NOSSA SENHORA DE LOURDES;JARDIM DAS AMÉRICAS;246;COMERCIO
AV. PARANÁ;BACACHERI;88;COMERCIO
AV. PARANÁ;BOA VISTA;89;COMERCIO
AV. PARANÁ;CABRAL;60;COMERCIO
AV. PARANÁ;SANTA CÂNDIDA;38;COMERCIO
AV. PARANÁ;TINGUI;23;COMERCIO
AV. PERO VAZ DE CAMINHA;TATUQUARA;19;COMERCIO
AV. PREFEITO ERASTO GAERTNER;BACACHERI;331;COMERCIO
AV. PREFEITO MAURÍCIO FRUET;CAJURU;56;COMERCIO
AV. PREFEITO OMAR SABBAG;JARDIM BOTÂNICO;26;COMERCIO
AV. PRESIDENTE AFFONSO CAMARGO;CAPÃO DA IMBUIA;52;COMERCIO
AV. PRESIDENTE AFFONSO CAMARGO;CRISTO REI;92;COMERCIO
AV. PRESIDENTE AFFONSO CAMARGO;JARDIM BOTÂNICO;30;COMERCIO
AV. PRESIDENTE ARTHUR DA SILVA BERNARDES;PORTÃO;77;COMERCIO
AV. PRESIDENTE ARTHUR DA SILVA BERNARDES;SANTA QUITÉRIA;70;COMERCIO
AV. PRESIDENTE ARTHUR DA SILVA BERNARDES;VILA IZABEL;58;COMERCIO
AV. PRESIDENTE GETÚLIO VARGAS;REBOUÇAS;63;COMERCIO
AV. PRESIDENTE GETÚLIO VARGAS;VILA IZABEL;37;COMERCIO
AV. PRESIDENTE GETÚLIO VARGAS;ÁGUA VERDE;159;COMERCIO
AV. PRESIDENTE KENNEDY;GUAÍRA;69;COMERCIO
AV. PRESIDENTE KENNEDY;PAROLIN;38;COMERCIO
AV. PRESIDENTE KENNEDY;PORTÃO;515;COMERCIO
AV. PRESIDENTE KENNEDY;REBOUÇAS;53;COMERCIO
AV. PRESIDENTE KENNEDY;ÁGUA VERDE;81;COMERCIO
AV. PRESIDENTE WENCESLAU BRAZ;GUAÍRA;62;COMERCIO
AV. PRESIDENTE WENCESLAU BRAZ;LINDÓIA;50;COMERCIO
AV. PRESIDENTE WENCESLAU BRAZ;PAROLIN;18;COMERCIO
AV. REPÚBLICA ARGENTINA;***;20;COMERCIO
AV. REPÚBLICA ARGENTINA;NOVO MUNDO;240;COMERCIO
AV. REPÚBLICA ARGENTINA;PORTÃO;374;COMERCIO
AV. REPÚBLICA ARGENTINA;VILA IZABEL;167;COMERCIO
AV. REPÚBLICA ARGENTINA;ÁGUA VERDE;453;COMERCIO
AV. SANTA BERNADETHE;FANNY;28;COMERCIO
AV. SANTA BERNADETHE;LINDÓIA;13;COMERCIO
AV. SANTA RITA DE CASSIA DOS IMPOSSÍVEIS;TATUQUARA;13;COMERCIO
AV. SENADOR SALGADO FILHO;***;19;COMERCIO
AV. SENADOR SALGADO FILHO;GUABIROTUBA;188;COMERCIO
AV. SENADOR SALGADO FILHO;PRADO VELHO;14;COMERCIO
AV. SENADOR SALGADO FILHO;UBERABA;330;COMERCIO
AV. SENADOR SOUZA NAVES;ALTO DA RUA XV;36;COMERCIO
AV. SENADOR SOUZA NAVES;CRISTO REI;22;COMERCIO
AV. SETE DE SETEMBRO;BATEL;761;COMERCIO
AV. SETE DE SETEMBRO;CENTRO;82;COMERCIO
AV. SETE DE SETEMBRO;JARDIM BOTÂNICO;63;COMERCIO
AV. SETE DE SETEMBRO;REBOUÇAS;131;COMERCIO
AV. SETE DE SETEMBRO;SEMINÁRIO;49;COMERCIO
AV. SETE DE SETEMBRO;ÁGUA VERDE;132;COMERCIO
AV. SILVA JARDIM;REBOUÇAS;96;COMERCIO
AV. SILVA JARDIM;SEMINÁRIO;20;COMERCIO
AV. SILVA JARDIM;ÁGUA VERDE;64;COMERCIO
AV. SÃO JOSÉ;CRISTO REI;83;COMERCIO
AV. TRÊS MARIAS;ORLEANS;18;COMERCIO
AV. TRÊS MARIAS;SÃO BRAZ;19;COMERCIO
AV. VEREADOR TOALDO TÚLIO;***;17;COMERCIO
AV. VEREADOR TOALDO TÚLIO;ORLEANS;127;COMERCIO
AV. VEREADOR TOALDO TÚLIO;SANTA FELICIDADE;126;COMERCIO
AV. VEREADOR TOALDO TÚLIO;SÃO BRAZ;328;COMERCIO
AV. VICENTE MACHADO;BATEL;88;COMERCIO
AV. VICENTE MACHADO;CAMPINA DO SIQUEIRA;19;COMERCIO
AV. VICENTE MACHADO;CENTRO;199;COMERCIO
AV. VICENTE MACHADO;SEMINÁRIO;13;COMERCIO
AV. VICTOR FERREIRA DO AMARAL;CAPÃO DA IMBUIA;68;COMERCIO
AV. VICTOR FERREIRA DO AMARAL;TARUMÃ;304;COMERCIO
AV. VISCONDE DE GUARAPUAVA;ALTO DA RUA XV;41;COMERCIO
AV. VISCONDE DE GUARAPUAVA;BATEL;56;COMERCIO
AV. VISCONDE DE GUARAPUAVA;CENTRO;165;COMERCIO
AV. WINSTON CHURCHILL;***;19;COMERCIO
AV. WINSTON CHURCHILL;CAPÃO RASO;304;COMERCIO
AV. WINSTON CHURCHILL;PINHEIRINHO;176;COMERCIO
AV. ÁGUA VERDE;ÁGUA VERDE;99;COMERCIO
DESEMBARGADOR CID CAMPELO;CIDADE INDUSTRIAL;15;COMERCIO
Desembargador Cid Campelo;Cidade Industrial;30;COMERCIO
EDUARDO PINTO DA ROCHA;SÍTIO CERCADO;55;COMERCIO
EST. DA RIBEIRA BR-476;ATUBA;38;COMERCIO
EST. DAS OLARIAS;SANTA CÂNDIDA;18;COMERCIO
EST. DE SANTA CÂNDIDA;SANTA CÂNDIDA;47;COMERCIO
EST. DELEGADO BRUNO DE ALMEIDA;CAMPO DE SANTANA;33;COMERCIO
EST. DELEGADO BRUNO DE ALMEIDA;CAXIMBA;13;COMERCIO
EST. DO GANCHINHO- LD;GANCHINHO;46;COMERCIO
EST. DO GANCHINHO- LD;SÍTIO CERCADO;33;COMERCIO
EST. DO GANCHINHO- LD;UMBARÁ;32;COMERCIO
EST. GUILHERME WEIGERT;SANTA CÂNDIDA;58;COMERCIO
EST. NOVA DE COLOMBO;SANTA CÂNDIDA;26;COMERCIO
EST. VELHA DO BARIGUI;CIDADE INDUSTRIAL;38;COMERCIO
Eduardo Pinto da Rocha;Sítio Cercado;17;COMERCIO
FRANCISCO CLAUDINO FERREIRA;SÍTIO CERCADO;13;COMERCIO
João Dembinski;Cidade Industrial;14;COMERCIO
MARTE;SÍTIO CERCADO;42;COMERCIO
PC. GENERAL OSÓRIO;CENTRO;134;COMERCIO
PC. GENEROSO MARQUES;CENTRO;17;COMERCIO
PC. JOSÉ BORGES DE MACEDO;CENTRO;48;COMERCIO
PC. RUI BARBOSA;CENTRO;133;COMERCIO
PC. SENADOR CORRÊIA;CENTRO;21;COMERCIO
PC. TIRADENTES;CENTRO;80;COMERCIO
PC. ZACARIAS;CENTRO;37;COMERCIO
R. 1 DE MAIO;***;14;COMERCIO
R. 1 DE MAIO;XAXIM;193;COMERCIO
R. 24 DE MAIO;CENTRO;90;COMERCIO
R. 24 DE MAIO;PAROLIN;35;COMERCIO
R. 24 DE MAIO;REBOUÇAS;220;COMERCIO
R. 25 DE AGOSTO;BOQUEIRÃO;16;COMERCIO
R. ADILIO RAMOS;BAIRRO ALTO;49;COMERCIO
R. ADINAR DOS SANTOS RIBEIRO;FAZENDINHA;25;COMERCIO
R. ADOLPHO BERTOLDI;CAMPO DE SANTANA;25;COMERCIO
R. ADRIANA CERES ZAGO BUENO;TATUQUARA;21;COMERCIO
R. ADRIANÓPOLIS;SÍTIO CERCADO;13;COMERCIO
R. AGENOR ANTONIO RODRIGUES;SÍTIO CERCADO;40;COMERCIO
R. AGOSTINHO BRUSAMOLIN;CIDADE INDUSTRIAL;15;COMERCIO
R. AGUDOS DO SUL;SÍTIO CERCADO;21;COMERCIO
R. ALAGOAS;GUAÍRA;67;COMERCIO
R. ALBANO REIS;BOM RETIRO;16;COMERCIO
R. ALBERICO FLORES BUENO;ATUBA;18;COMERCIO
R. ALBERICO FLORES BUENO;BAIRRO ALTO;159;COMERCIO
R. ALBERTO BOLLIGER;ALTO DA GLÓRIA;19;COMERCIO
R. ALBERTO BOLLIGER;JUVEVÊ;45;COMERCIO
R. ALBERTO FOLLONI;AHÚ;44;COMERCIO
R. ALBERTO FOLLONI;JUVEVÊ;67;COMERCIO
R. ALBERTO KLEMTZ;PORTÃO;50;COMERCIO
R. ALBERTO KOSOP;PINHEIRINHO;21;COMERCIO
R. ALBERTO POTIER;BOA VISTA;19;COMERCIO
R. ALBINO KAMINSKI;BAIRRO ALTO;38;COMERCIO
R. ALBINO SILVA;BOM RETIRO;16;COMERCIO
R. ALCEBÍADES PLAISANT;ÁGUA VERDE;28;COMERCIO
R. ALCIDES MUNHOZ;MERCÊS;35;COMERCIO
R. ALCIDES THERÉZIO DE CARVALHO;GUABIROTUBA;21;COMERCIO
R. ALCINO GUANABARA;HAUER;94;COMERCIO
R. ALDA BASSETTI BERTHOLDI;CAMPO DE SANTANA;13;COMERCIO
R. ALEXANDRO GLENSKI;MOSSUNGUÊ;21;COMERCIO
R. ALFERES ANGELO SAMPAIO;BATEL;35;COMERCIO
R. ALFERES ANGELO SAMPAIO;BIGORRILHO;24;COMERCIO
R. ALFERES ANGELO SAMPAIO;ÁGUA VERDE;17;COMERCIO
R. ALFERES POLI;CENTRO;29;COMERCIO
R. ALFERES POLI;PAROLIN;63;COMERCIO
R. ALFERES POLI;REBOUÇAS;175;COMERCIO
R. ALFREDO BUFREN;CENTRO;64;COMERCIO
R. ALFREDO JOSÉ PINTO;FAZENDINHA;18;COMERCIO
R. ALMIR NELSON DE ALMEIDA;CAMPO COMPRIDO;16;COMERCIO
R. ALMIRANTE GONÇALVES;REBOUÇAS;89;COMERCIO
R. ALMIRANTE GONÇALVES;ÁGUA VERDE;18;COMERCIO
R. ALMIRANTE TAMANDARÉ;ALTO DA RUA XV;20;COMERCIO
R. ALMIRANTE TAMANDARÉ;JUVEVÊ;13;COMERCIO
R. ALVARES DE AZEVEDO;CIDADE INDUSTRIAL;18;COMERCIO
R. ALVARO ANDRADE;PORTÃO;24;COMERCIO
R. ALVARO BOTELHO;BACACHERI;28;COMERCIO
R. ALZIRO ZARUR;SÍTIO CERCADO;16;COMERCIO
R. AMADEU DO AMARAL;PORTÃO;27;COMERCIO
R. AMADEU PIOTTO;CIDADE INDUSTRIAL;15;COMERCIO
R. AMADOR BUENO;CAJURU;46;COMERCIO
R. AMARO DE SANTA RITA;FANNY;17;COMERCIO
R. AMAURY LANGE SILVERIO;PILARZINHO;51;COMERCIO
R. AMAZONAS;ÁGUA VERDE;30;COMERCIO
R. AMINTAS DE BARROS;CENTRO;48;COMERCIO
R. AMÉRICO VESPÚCIO;LINDÓIA;20;COMERCIO
R. ANA BERTA ROSKAMP;JARDIM DAS AMÉRICAS;29;COMERCIO
R. ANDRE DE BARROS;CENTRO;170;COMERCIO
R. ANDRÉ JOÃO GASPARIN;NOVO MUNDO;81;COMERCIO
R. ANGELINA BRAGA CORTEZZI;SANTA FELICIDADE;16;COMERCIO
R. ANGELINA LEGAT PASINI;ALTO BOQUEIRÃO;22;COMERCIO
R. ANGELO MASSIGNAN;SÃO BRAZ;32;COMERCIO
R. ANGELO TOZIM;CAMPO DE SANTANA;34;COMERCIO
R. ANGÉLICA MARIA TABORDA SANTOS;BOQUEIRÃO;14;COMERCIO
R. ANIBAL GOULART MAIA FILHO;BAIRRO ALTO;18;COMERCIO
R. ANIBAL REQUIAO;XAXIM;15;COMERCIO
R. ANITA RIBAS;BACACHERI;23;COMERCIO
R. ANNE FRANK;BOQUEIRÃO;337;COMERCIO
R. ANNE FRANK;HAUER;93;COMERCIO
R. ANSELMO DE LIMA FILHO;CIDADE INDUSTRIAL;36;COMERCIO
R. ANTONIO ADER;FANNY;16;COMERCIO
R. ANTONIO AUGUSTO DE BRITO;UMBARÁ;34;COMERCIO
R. ANTONIO BOZA;SÍTIO CERCADO;16;COMERCIO
R. ANTONIO CANDIDO CAVALIM;BAIRRO ALTO;27;COMERCIO
R. ANTONIO CLAUDINO;PINHEIRINHO;14;COMERCIO
R. ANTONIO DALMARCO;FAZENDINHA;23;COMERCIO
R. ANTONIO DE OLIVEIRA SANTOS;CIDADE INDUSTRIAL;65;COMERCIO
R. ANTONIO ESCORSIN;SANTA FELICIDADE;31;COMERCIO
R. ANTONIO ESCORSIN;SÃO BRAZ;124;COMERCIO
R. ANTONIO LACERDA BRAGA;CIDADE INDUSTRIAL;34;COMERCIO
R. ANTONIO LAGO;BOA VISTA;32;COMERCIO
R. ANTONIO MEIRELLES SOBRINHO;CAJURU;29;COMERCIO
R. ANTONIO MOREIRA LOPES;CAJURU;17;COMERCIO
R. ANTONIO PASTRE;CIDADE INDUSTRIAL;45;COMERCIO
R. ANTONIO REBELATTO;XAXIM;38;COMERCIO
R. ANTONIO ZAK;ALTO BOQUEIRÃO;20;COMERCIO
R. ANTÔNIO OLÍVIO RODRIGUES;CAPÃO DA IMBUIA;24;COMERCIO
R. ANTÔNIO SCHIEBEL;BOQUEIRÃO;67;COMERCIO
R. ANÍZIA MARIA DA CONCEIÇÃO FERREIRA;TATUQUARA;13;COMERCIO
R. APUCARANA;SÍTIO CERCADO;16;COMERCIO
R. ARACAJU;CAJURU;38;COMERCIO
R. ARAGUAIA;CAPÃO DA IMBUIA;16;COMERCIO
R. ARAPONGAS;SÍTIO CERCADO;15;COMERCIO
R. ARCÉSIO CORREIA LIMA;ATUBA;15;COMERCIO
R. ARCÉSIO DE BARROS LIMA;TATUQUARA;27;COMERCIO
R. ARION NIEPCE DA SILVA;PORTÃO;13;COMERCIO
R. ARISTÓTELES DA SILVA SANTOS;BOQUEIRÃO;18;COMERCIO
R. ARLINDO ARAÚJO SOBRINHO;GUABIROTUBA;13;COMERCIO
R. ARLINDO NATAL;UBERABA;18;COMERCIO
R. ARNALDO THÁ;FAZENDINHA;102;COMERCIO
R. ARNOLDO WOLFF GAENSLY;ATUBA;17;COMERCIO
R. ARTHUR MANOEL IWERSEN;ALTO BOQUEIRÃO;19;COMERCIO
R. ARTHUR MANOEL IWERSEN;BOQUEIRÃO;34;COMERCIO
R. ARTHUR MARTINS FRANCO;CIDADE INDUSTRIAL;38;COMERCIO
R. ARTHUR MARTINS FRANCO;FAZENDINHA;20;COMERCIO
R. ARTHUR RAMOS;BAIRRO ALTO;13;COMERCIO
R. ARY BARROSO;BOA VISTA;14;COMERCIO
R. ARY CLAUDINO ZIEMER;PINHEIRINHO;14;COMERCIO
R. ARY ROLIM COSTA;FAZENDINHA;13;COMERCIO
R. ASSIS FIGUEIREDO;GUAÍRA;18;COMERCIO
R. ASTORGA;SÍTIO CERCADO;17;COMERCIO
R. ATILIO BRUNETTI;CAPÃO RASO;35;COMERCIO
R. ATILIO BRUNETTI;PINHEIRINHO;15;COMERCIO
R. ATÍLIO BÓRIO;ALTO DA RUA XV;33;COMERCIO
R. ATÍLIO BÓRIO;CRISTO REI;30;COMERCIO
R. AUGUSTO DE MARI;GUAÍRA;27;COMERCIO
R. AUGUSTO DE MARI;PORTÃO;39;COMERCIO
R. AUGUSTO DIAS PAREDES;BOQUEIRÃO;29;COMERCIO
R. AUGUSTO SEVERO;ALTO DA GLÓRIA;31;COMERCIO
R. AUGUSTO STEEMBOCK;UBERABA;23;COMERCIO
R. AUGUSTO STRESSER;ALTO DA GLÓRIA;17;COMERCIO
R. AUGUSTO STRESSER;HUGO LANGE;146;COMERCIO
R. AUGUSTO STRESSER;JUVEVÊ;80;COMERCIO
R. AUGUSTO ZIBARTH;UBERABA;28;COMERCIO
R. AVIADOR ARMIN BUHRER;UBERABA;18;COMERCIO
R. AYRTON PIZZATTO GUSI;XAXIM;21;COMERCIO
R. BAHIA;GUAÍRA;13;COMERCIO
R. BALTAZAR CARRASCO DOS REIS;REBOUÇAS;70;COMERCIO
R. BANDEIRANTES;SÍTIO CERCADO;15;COMERCIO
R. BARTOLOMEU LOURENÇO DE GUSMÃO;BOQUEIRÃO;151;COMERCIO
R. BARTOLOMEU LOURENÇO DE GUSMÃO;HAUER;39;COMERCIO
R. BARÃO DE SANTO ANGELO;XAXIM;40;COMERCIO
R. BARÃO DO RIO BRANCO;***;19;COMERCIO
R. BARÃO DO RIO BRANCO;CENTRO;128;COMERCIO
R. BARÃO DO SERRO AZUL;CENTRO;60;COMERCIO
R. BARÃO DO SERRO AZUL;SÃO FRANCISCO;59;COMERCIO
R. BARÃO DOS CAMPOS GERAIS;JUVEVÊ;17;COMERCIO
R. BASÍLIO FUCK;XAXIM;25;COMERCIO
R. BATISTA DA COSTA;PINHEIRINHO;25;COMERCIO
R. BELÉM;CABRAL;20;COMERCIO
R. BENEDITO GUIL;CAPÃO DA IMBUIA;15;COMERCIO
R. BENJAMIN CONSTANT;CENTRO;73;COMERCIO
R. BENJAMIN LINS;BATEL;25;COMERCIO
R. BENTO VIANA;ÁGUA VERDE;32;COMERCIO
R. BENVENUTO GUSSO;BOA VISTA;21;COMERCIO
R. BERNARDINO IATAURO;ORLEANS;20;COMERCIO
R. BERNARDO JACINTHO DA VEIGA;NOVO MUNDO;18;COMERCIO
R. BISPO DOM JOSÉ;BATEL;31;COMERCIO
R. BISPO DOM JOSÉ;SEMINÁRIO;33;COMERCIO
R. BOCAIUVA;SANTA QUITÉRIA;21;COMERCIO
R. BOM JESUS;JUVEVÊ;16;COMERCIO
R. BOM JESUS DE IGUAPE;BOQUEIRÃO;122;COMERCIO
R. BOM JESUS DE IGUAPE;HAUER;86;COMERCIO
R. BOM PASTOR;ALTO BOQUEIRÃO;18;COMERCIO
R. BORORÓS;VILA IZABEL;20;COMERCIO
R. BORTOLO PELANDA;UMBARÁ;19;COMERCIO
R. BRASILIO CUMAN;SÃO BRAZ;20;COMERCIO
R. BRASÍLIO BACELLAR FILHO;TINGUI;20;COMERCIO
R. BRASÍLIO ITIBERÊ;JARDIM BOTÂNICO;17;COMERCIO
R. BRASÍLIO ITIBERÊ;REBOUÇAS;52;COMERCIO
R. BRASÍLIO ITIBERÊ;ÁGUA VERDE;81;COMERCIO
R. BRASÍLIO RIBAS;NOVO MUNDO;29;COMERCIO
R. BRIGADEIRO ARTHUR CARLOS PERALTA;BOA VISTA;31;COMERCIO
R. BRIGADEIRO FRANCO;CENTRO;256;COMERCIO
R. BRIGADEIRO FRANCO;MERCÊS;32;COMERCIO
R. BRIGADEIRO FRANCO;PAROLIN;33;COMERCIO
R. BRIGADEIRO FRANCO;REBOUÇAS;51;COMERCIO
R. BRIGADEIRO FRANCO;ÁGUA VERDE;43;COMERCIO
R. BRUNO FILGUEIRA;BATEL;19;COMERCIO
R. BRUNO FILGUEIRA;BIGORRILHO;28;COMERCIO
R. BRUNO LOBO;BAIRRO ALTO;15;COMERCIO
R. BUENOS AIRES;BATEL;68;COMERCIO
R. BUENOS AIRES;ÁGUA VERDE;24;COMERCIO
R. BÔRTOLO GUSSO;CAPÃO RASO;67;COMERCIO
R. CAETANO MARCHESINI;PORTÃO;36;COMERCIO
R. CALIFÓRNIA;SÍTIO CERCADO;14;COMERCIO
R. CAMILO CASTELO BRANCO;LINDÓIA;13;COMERCIO
R. CAMPO MOURÃO;ALTO BOQUEIRÃO;27;COMERCIO
R. CAMÕES;ABRANCHES;26;COMERCIO
R. CAMÕES;ALTO DA RUA XV;332;COMERCIO
R. CAMÕES;HUGO LANGE;26;COMERCIO
R. CANADÁ;BACACHERI;46;COMERCIO
R. CANDIDO DE LEÃO;CENTRO;35;COMERCIO
R. CANDIDO LOPES;CENTRO;77;COMERCIO
R. CAP. DOUTOR ANTONIO JOSÉ;XAXIM;35;COMERCIO
R. CAPIBERIBE;SANTA QUITÉRIA;18;COMERCIO
R. CAPISTRANO DE ABREU;BOA VISTA;19;COMERCIO
R. CAPITÃO ARGEMIRO MONTEIRO WANDERLEY;CAPÃO RASO;24;COMERCIO
R. CAPITÃO GUILHERME BIANCHI;CAJURU;16;COMERCIO
R. CAPITÃO JOSÉ MARIA SOBRINHO;FANNY;34;COMERCIO
R. CAPITÃO JOÃO RIBAS DE OLIVEIRA;GUABIROTUBA;23;COMERCIO
R. CAPITÃO JOÃO ZALESKI;LINDÓIA;20;COMERCIO
R. CAPITÃO LEONIDAS MARQUES;UBERABA;90;COMERCIO
R. CAPITÃO SOUZA FRANCO;BIGORRILHO;59;COMERCIO
R. CAPITÃO TENENTE MARIS DE BARROS;PORTÃO;24;COMERCIO
R. CARLOS BENATO;SÃO BRAZ;15;COMERCIO
R. CARLOS DE CAMPOS;BOA VISTA;24;COMERCIO
R. CARLOS DE LAET;BOQUEIRÃO;176;COMERCIO
R. CARLOS DE LAET;HAUER;97;COMERCIO
R. CARLOS DIETZSCH;PORTÃO;91;COMERCIO
R. CARLOS ESSENFELDER;BOQUEIRÃO;136;COMERCIO
R. CARLOS KLEMTZ;FAZENDINHA;110;COMERCIO
R. CARLOS KLEMTZ;PORTÃO;19;COMERCIO
R. CARLOS PIOLI;BOM RETIRO;17;COMERCIO
R. CARLOS PRADI;JARDIM DAS AMÉRICAS;15;COMERCIO
R. CARLOTA STRAUBE DE ARAÚJO;BOA VISTA;44;COMERCIO
R. CARMELINA CAVASSIN;ABRANCHES;34;COMERCIO
R. CARMELINA CAVASSIN;BARREIRINHA;27;COMERCIO
R. CARNEIRO LOBO;ÁGUA VERDE;24;COMERCIO
R. CAROLINA CASTELLI;NOVO MUNDO;17;COMERCIO
R. CASCAVEL;ALTO BOQUEIRÃO;22;COMERCIO
R. CASCAVEL;BOQUEIRÃO;136;COMERCIO
R. CASTRO;ÁGUA VERDE;90;COMERCIO
R. CATULO DA PAIXÃO CEARENSE;CAJURU;29;COMERCIO
R. CELESTE TORTATO GABARDO;SÍTIO CERCADO;104;COMERCIO
R. CEZINANDO DIAS PAREDES;BOQUEIRÃO;45;COMERCIO
R. CHANCELER LAURO MULLER;PAROLIN;15;COMERCIO
R. CHICHORRO JUNIOR;CABRAL;18;COMERCIO
R. CHILE;PRADO VELHO;32;COMERCIO
R. CHILE;REBOUÇAS;79;COMERCIO
R. CHRISTIANO SCHMITZ;XAXIM;13;COMERCIO
R. CID MARCONDES DE ALBUQUERQUE;PINHEIRINHO;141;COMERCIO
R. CIDADE DE LAGUNA;CIDADE INDUSTRIAL;19;COMERCIO
R. CIDADE DE PALMAS;SÍTIO CERCADO;20;COMERCIO
R. CIDADE DE TIMBÓ;CIDADE INDUSTRIAL;14;COMERCIO
R. CIDADE JARDIM OLINDA;AUGUSTA;15;COMERCIO
R. CIRO DE CASTRO;CIDADE INDUSTRIAL;15;COMERCIO
R. CLARA POLSIN;NOVO MUNDO;35;COMERCIO
R. CLAUDIO CHATAGNIER;BACACHERI;13;COMERCIO
R. CLAUDIO MANOEL DA COSTA;PILARZINHO;16;COMERCIO
R. CLEMENTE RITZ;CIDADE INDUSTRIAL;18;COMERCIO
R. CLETO DA SILVA;BOQUEIRÃO;37;COMERCIO
R. CLÁVIO MOLINARI;CAPÃO DA IMBUIA;16;COMERCIO
R. COLOMBO;AHÚ;14;COMERCIO
R. COMENDADOR ARAÚJO;BATEL;175;COMERCIO
R. COMENDADOR ARAÚJO;CENTRO;301;COMERCIO
R. COMENDADOR MACEDO;CENTRO;50;COMERCIO
R. COMENDADOR ROSEIRA;PRADO VELHO;34;COMERCIO
R. CONDE DE SÃO JOÃO DAS DUAS BARRAS;BOQUEIRÃO;25;COMERCIO
R. CONDE DE SÃO JOÃO DAS DUAS BARRAS;HAUER;19;COMERCIO
R. CONDE DOS ARCOS;LINDÓIA;40;COMERCIO
R. CONSELHEIRO ARAÚJO;CENTRO;41;COMERCIO
R. CONSELHEIRO DANTAS;PRADO VELHO;18;COMERCIO
R. CONSELHEIRO DANTAS;REBOUÇAS;26;COMERCIO
R. CONSELHEIRO LAURINDO;***;13;COMERCIO
R. CONSELHEIRO LAURINDO;CENTRO;291;COMERCIO
R. CONSELHEIRO LAURINDO;PRADO VELHO;15;COMERCIO
R. CONSTANTINO JOSÉ DE ALMEIDA;XAXIM;15;COMERCIO
R. CORONEL ALFREDO FERREIRA DA COSTA;JARDIM DAS AMÉRICAS;14;COMERCIO
